# A tibble: 36 × 12
# Groups:   k, sketchsize, bin [36]
       k sketchsize   bin     n   Dash1     FSS1 JItrue    Mash `PMH1-500000` `PMH1-50000000`    SS1 WJItrue
   <int>      <int> <dbl> <int>   <dbl>    <dbl>  <dbl>   <dbl>         <dbl>           <dbl>  <dbl>   <dbl>
 1    21       8192  0.7      2 -0.617  -0.0627  -0.386 -1.49           0.350           0.269 -0.697  -0.386
 2    21       8192  0.75     7 -1.14   -0.832   -1.27  -5.37           1.06            0.793 -1.80   -1.16 
 3    21       8192  0.8     10  0.410   0.193    0.178 -0.758          0.908           0.690  0.191   0.202
 4    21       8192  0.85    35  0.531  -0.261    0.313 -0.497          1.39            1.28  -0.226   0.347
 5    21       8192  0.9    117  0.989   0.933    0.839  0.935         -1.13            1.57   0.893   0.887
 6    21       8192  0.95   839  0.306   0.537   -0.119  0.158        -28.7            -0.128  0.512   0.198
 7    21      32768  0.7      2  0.142  -1.49    -0.386 -1.49           0.338           0.274 -0.186  -0.386
 8    21      32768  0.75     7 -3.74   -2.56    -1.27  -5.37           1.07            0.815 -1.72   -1.16 
 9    21      32768  0.8     10  0.165   0.173    0.178  0.0850         0.920           0.698  0.178   0.202
10    21      32768  0.85    35  0.553  -0.270    0.313 -0.330          1.38            1.31  -0.242   0.347
11    21      32768  0.9    117  0.953   0.931    0.839  0.863         -1.13            1.56   0.894   0.887
12    21      32768  0.95   839  0.432   0.548   -0.119  0.408        -28.7            -0.184  0.505   0.198
13    21     131072  0.7      2 -0.0190 -0.795   -0.386 -1.49           0.341           0.269 -1.49   -0.386
14    21     131072  0.75     7 -3.05   -3.39    -1.27  -5.37           1.07            0.808 -3.55   -1.16 
15    21     131072  0.8     10  0.110   0.181    0.178  0.200          0.905           0.706  0.178   0.202
16    21     131072  0.85    35 -0.225   0.440    0.313 -0.271          1.37            1.31   0.402   0.347
17    21     131072  0.9    117  0.918   0.930    0.839  0.921         -1.17            1.55   0.914   0.887
18    21     131072  0.95   839  0.479   0.525   -0.119  0.660        -28.8            -0.190  0.519   0.198
19    31       8192  0.7      2 -0.571  -0.706   -0.167 -1.49           0.394           0.346 -0.688  -0.167
20    31       8192  0.75     7  0.631  -3.74    -0.612 -5.37           1.27            1.08  -2.89   -0.528
21    31       8192  0.8     10 -1.14    0.490    0.533 -2.16           1.17            1.00   0.527   0.542
22    31       8192  0.85    35 -1.83    0.325    0.978  0.235          2.28            1.96   0.276   0.984
23    31       8192  0.9    117  1.57    1.81     1.79   1.73           1.73            2.76   1.77    1.80 
24    31       8192  0.95   839  2.39    2.40     2.07   2.58         -16.8             2.20   2.40    2.15 
25    31      32768  0.7      2  0.258   0.00744 -0.167 -1.49           0.398           0.350  0.134  -0.167
26    31      32768  0.75     7 -0.117  -3.12    -0.612 -5.37           1.26            1.08  -4.72   -0.527
27    31      32768  0.8     10  0.583   0.506    0.533  0.419          1.17            1.00   0.488   0.553
28    31      32768  0.85    35 -0.678   0.297    0.978  1.09           2.27            2.02   0.287   1.00 
29    31      32768  0.9    117  1.80    1.80     1.79   1.76           1.74            2.76   1.80    1.81 
30    31      32768  0.95   839  2.43    2.42     2.07   2.50         -16.8             2.17   2.40    2.23 
31    31     131072  0.7      2  0.188  -0.709   -0.167 -1.49           0.398           0.347 -1.49   -0.167
32    31     131072  0.75     7 -0.408  -3.86    -0.612 -5.37           1.25            1.08  -2.19   -0.527
33    31     131072  0.8     10  0.547   0.529    0.533  0.511          1.17            1.01   0.524   0.553
34    31     131072  0.85    35  1.13    1.03     0.978  1.06           2.28            2.02   0.273   1.00 
35    31     131072  0.9    117  1.87    1.82     1.79   1.82           1.73            2.74   1.81    1.81 
36    31     131072  0.95   839  2.45    2.42     2.07   2.42         -16.9             2.20   2.44    2.23 
