Bucket 1 [0.0->0.01]	0:1	2:3	4:5	6:7	8:9	10:11	12:13	14:15	16:17	18:19
Bucket 2 [0.01->0.02]	46:52	50:4695	51:8892	54:384	55:468	60:2342	89:121	90:100	94:242	102:122
Bucket 3 [0.02->0.03]	35:217	81:91	108:1474	146:5040	154:975	173:2948	190:2337	214:28023	218:253	260:400
Bucket 4 [0.03->0.04]	34:1612	95:1722	107:536	135:185	149:18827	187:203	198:236	225:1374	264:453	276:5995
Bucket 5 [0.04->0.05]	63:209	196:227	251:2748	278:642	284:3729	338:2858	385:641	386:388	411:9355	445:694
Bucket 6 [0.05->0.06]	292:417	297:480	363:369	501:506	502:553	560:566	605:643	622:6834	632:101182	698:946
Bucket 7 [0.06->0.07]	113:115	141:153	232:247	277:39365	310:585	398:578	498:1040	557:1477	596:870	617:674
Bucket 8 [0.07->0.08]	33:76	101:2901	119:6470	166:11136	248:300	281:31113	349:499	532:19450	774:73393	807:13604
Bucket 9 [0.08->0.09]	237:270	534:607	727:2176	735:768	959:994	988:7948	1005:17767	1012:42327	1038:3756	1056:1241
Bucket 10 [0.09->0.1]	106:51396	117:98285	492:543	590:954	640:40342	697:25070	801:21822	840:1051	928:2422	981:3006
Bucket 11 [0.1->0.11]	159:299	201:1166	304:24465	314:12172	389:1885	491:769	522:1505	554:1739	564:2466	615:14313
Bucket 12 [0.11->0.12]	48:67	687:34587	849:3121	986:27706	1014:19171	1187:4712	1265:4464	1300:45219	1307:1727	1350:41441
Bucket 13 [0.12->0.13]	178:241	224:373	378:26179	545:916	646:26888	721:2369	746:35939	813:823	1009:12033	1069:1109
Bucket 14 [0.13->0.14]	441:2705	521:15528	793:6585	908:5237	1016:1883	1041:99873	1164:23209	1177:2078	1278:1357	1369:1469
Bucket 15 [0.14->0.15]	289:32849	750:52867	760:1205	836:845	839:926	866:1153	1052:26667	1121:9453	1152:1377	1239:1711
Bucket 16 [0.15->0.16]	160:982	594:856	835:12388	1070:1183	1231:1347	1261:20582	1275:2115	1443:3322	1453:2617	1463:35023
Bucket 17 [0.16->0.17]	136:176	309:3694	329:496	404:6615	470:6006	629:1301	725:1089	912:939	1061:4549	1380:1984
Bucket 18 [0.17->0.18]	294:1640	396:409	413:428	449:483	655:742	1044:1150	1135:2939	1266:1499	1302:1351	1327:1842
Bucket 19 [0.18->0.19]	226:676	231:258	419:909	484:517	636:653	695:834	812:859	968:1172	979:11814	1117:2535
Bucket 20 [0.19->0.2]	328:346	1008:1173	1255:1655	1424:6867	1525:3835	1529:1753	1585:11304	1624:35210	1651:3913	1665:2098
Bucket 21 [0.2->0.21]	436:10813	913:76142	1132:1219	1366:21755	1408:76349	1540:4508	1583:45873	1633:4718	1662:2863	1702:5296
Bucket 22 [0.21->0.22]	24:8326	450:3103	688:13563	776:23651	861:938	960:2996	1436:1494	1466:1473	1724:16690	1730:59204
Bucket 23 [0.22->0.23]	885:2366	1043:1082	1299:26715	1447:34339	1601:1693	1621:2271	1707:7395	1729:9611	1757:13658	1759:37503
Bucket 24 [0.23->0.24]	444:1039	987:106343	1196:60568	1402:1409	1498:3497	1508:3071	1541:107458	1552:3393	1557:4134	1572:5168
Bucket 25 [0.24->0.25]	28:31	93:129	125:137	287:551	347:364	764:55618	825:1126	901:917	1215:1259	1249:1439
Bucket 26 [0.25->0.26]	64:66	112:118	164:526	348:1919	355:106070	520:523	601:603	739:747	841:843	864:868
Bucket 27 [0.26->0.27]	71:77	84:99	246:255	493:1446	765:803	828:830	1015:1026	1146:1165	1170:1174	1189:5406
Bucket 28 [0.27->0.28]	21:275	36:43	206:1502	525:537	586:1123	723:1209	943:944	953:970	1130:41368	1138:1143
Bucket 29 [0.28->0.29]	420:422	474:479	490:500	550:558	709:23858	715:722	741:7760	778:1032	967:977	1112:1980
Bucket 30 [0.29->0.3]	547:752	624:7081	728:729	781:2464	878:887	958:973	1055:1058	1059:1067	1071:1086	1095:1106
Bucket 31 [0.3->0.31]	182:183	208:222	481:485	608:613	751:754	1204:4056	1257:2294	1308:1478	1321:12871	1479:37439
Bucket 32 [0.31->0.32]	416:425	533:6300	667:677	775:3307	1221:16043	1228:1990	1233:1254	1309:35852	1429:1523	1457:2314
Bucket 33 [0.32->0.33]	131:582	383:393	716:2666	1224:1287	1263:22952	1575:1718	1629:1699	1632:1997	1669:58148	1670:2046
Bucket 34 [0.33->0.34]	406:15459	756:777	1083:7152	1084:3359	1434:42961	1481:13550	1573:3905	1677:2201	1678:8184	1679:1812
Bucket 35 [0.34->0.35000000000000003]	460:31912	620:4859	638:1200	680:8203	1274:15114	1393:2403	1458:2529	1471:2041	1496:5907	1512:29446
Bucket 36 [0.35000000000000003->0.36]	97:302	618:3829	804:817	1191:1207	1210:30960	1344:48384	1364:9131	1485:1600	1616:1865	1630:38935
Bucket 37 [0.36->0.37]	279:286	649:663	865:989	929:931	1053:1127	1108:1144	1113:1133	1272:1343	1406:1467	1407:101720
Bucket 38 [0.37->0.38]	815:974	1034:1858	1338:2029	1441:1507	1570:40548	1578:1756	1611:2671	1639:31191	1644:1843	1649:30734
Bucket 39 [0.38->0.39]	591:891	847:2997	930:942	1010:1019	1124:11844	1203:1433	1260:1310	1349:1451	1452:5206	1456:52466
Bucket 40 [0.39->0.4]	711:724	972:1003	1087:1092	1136:2299	1248:1277	1336:1352	1460:2471	1497:1619	1576:11015	1580:55586
Bucket 41 [0.4->0.41000000000000003]	87:867	234:3613	273:290	443:1550	503:538	819:895	846:855	854:1093	1033:2528	1080:2219
Bucket 42 [0.41000000000000003->0.42]	20:23	370:577	377:850	405:488	432:433	602:616	627:628	726:737	785:787	829:42598
Bucket 43 [0.42->0.43]	658:699	824:880	1000:5493	1128:1180	1236:7834	1270:3444	1285:1291	1331:2638	1383:2166	1384:1607
Bucket 44 [0.43->0.44]	257:263	435:456	512:660	621:666	758:999	857:1081	858:1237	1145:1171	1185:1188	1225:1363
Bucket 45 [0.44->0.45]	298:326	307:356	401:11147	430:511	604:718	644:689	877:881	888:889	896:1292	1250:25992
Bucket 46 [0.45->0.46]	79:98	161:35768	210:223	567:584	1020:1037	1065:3357	1094:1545	1107:1114	1168:3493	1212:1245
Bucket 47 [0.46->0.47000000000000003]	191:202	233:239	303:315	327:33135	465:786	568:738	570:650	623:701	948:952	1105:1118
Bucket 48 [0.47000000000000003->0.48]	169:426	189:415	661:990	684:2922	784:2604	790:995	821:3456	833:3955	1167:2850	1211:1461
Bucket 49 [0.48->0.49]	157:168	367:763	654:11475	700:82449	755:788	925:6353	1129:59429	1161:1163	1313:1365	1320:1587
Bucket 50 [0.49->0.5]	61:495	245:467	513:921	731:869	831:2551	872:875	1029:6832	1096:1569	1155:1577	1186:1190
Bucket 51 [0.5->0.51]	45:213	211:280	229:719	312:431	313:100560	324:1047	472:507	575:690	703:2947	720:1844
Bucket 52 [0.51->0.52]	192:197	240:318	265:1280	323:407	612:5747	770:1928	1045:1085	1062:1068	1088:1726	1192:1218
Bucket 53 [0.52->0.53]	195:204	333:4639	410:423	438:473	672:10925	772:6734	806:892	822:110564	851:18536	900:1031
Bucket 54 [0.53->0.54]	127:11782	365:374	379:757	827:6581	950:2331	985:2687	1004:1120	1232:1276	1281:1546	1318:1419
Bucket 55 [0.54->0.55]	62:70	147:177	387:580	626:631	730:1076	767:783	996:1054	1073:7433	1131:1342	1214:1251
Bucket 56 [0.55->0.56]	32:390	114:139	134:927	706:734	732:736	759:762	826:884	832:23027	853:9869	862:18652
Bucket 57 [0.56->0.5700000000000001]	26:123	65:17429	130:528	288:301	372:451	381:382	394:403	794:2261	844:941	992:1896
Bucket 58 [0.5700000000000001->0.58]	22:25	104:111	340:343	429:439	437:7710	679:4099	708:710	749:792	818:1788	852:919
Bucket 59 [0.58->0.59]	38:39	126:471	138:143	267:269	285:63661	339:344	544:17027	559:573	563:583	668:3135
Bucket 60 [0.59->0.6]	49:92	56:158	150:165	205:11991	256:266	320:330	352:353	391:402	427:1227	455:461
Bucket 61 [0.6->0.61]	57:73	162:904	180:186	311:350	331:5232	336:366	478:489	740:744	905:914	922:962
Bucket 62 [0.61->0.62]	144:184	235:296	268:341	295:4146	508:556	572:592	665:779	893:915	903:963	1023:1536
Bucket 63 [0.62->0.63]	152:163	530:540	611:707	678:705	693:753	848:114103	874:879	902:2095	997:1049	1048:1197
Bucket 64 [0.63->0.64]	316:459	317:322	361:2302	675:696	717:890	795:816	799:4226	956:957	971:984	1035:1036
Bucket 65 [0.64->0.65]	37:475	85:1798	552:633	761:2855	810:7943	920:2157	1011:1057	1063:52786	1116:1142	1267:1298
Bucket 66 [0.65->0.66]	181:194	371:1510	838:2116	1090:3361	1151:1289	1175:4927	1305:1448	1306:2322	1317:1530	1329:1750
Bucket 67 [0.66->0.67]	109:145	261:399	463:516	645:2125	657:899	782:978	873:15258	924:3045	1028:1427	1091:36710
Bucket 68 [0.67->0.68]	27:219	681:12458	1104:9233	1243:1513	1296:1371	1333:1714	1376:1663	1385:1564	1403:1432	1426:1720
Bucket 69 [0.68->0.6900000000000001]	244:12391	933:949	1340:2521	1360:3791	1362:10744	1399:92944	1595:5569	1684:8638	1685:2841	1689:1818
Bucket 70 [0.6900000000000001->0.7000000000000001]	1154:1901	1194:1202	1391:2154	1442:1614	1484:1755	1589:35050	1636:1795	1668:2533	1680:14347	1682:48379
Bucket 71 [0.7000000000000001->0.71]	319:462	440:704	1230:2141	1319:1646	1417:1656	1475:1704	1490:26866	1514:1566	1597:1625	1617:107563
Bucket 72 [0.71->0.72]	212:510	252:6784	581:647	588:599	609:1247	906:1103	1176:1179	1375:58825	1390:1420	1527:1634
Bucket 73 [0.72->0.73]	282:24176	561:562	598:1948	1518:9071	1579:3512	1660:2276	1709:2052	1733:2062	1734:36024	1764:26903
Bucket 74 [0.73->0.74]	639:964	686:12325	969:3263	1042:3515	1193:1283	1269:2383	1389:1392	1412:1574	1483:10980	1652:1892
Bucket 75 [0.74->0.75]	574:2786	1030:2797	1157:1341	1282:1386	1303:8171	1330:18635	1354:1378	1355:4018	1397:3011	1431:1444
Bucket 76 [0.75->0.76]	487:8606	1472:1627	1554:3800	1609:1620	1658:42250	1708:7386	1710:3095	1731:2739	1732:5283	1736:2224
Bucket 77 [0.76->0.77]	1097:1927	1262:82208	1284:6733	1346:9002	1367:40517	1373:17495	1487:30345	1492:11719	1528:34386	1555:7509
Bucket 78 [0.77->0.78]	221:2669	446:4516	637:702	669:673	1101:6507	1199:53110	1526:1533	1584:4607	1590:16142	1594:7224
Bucket 79 [0.78->0.79]	41:116	692:907	998:1046	1074:1162	1549:1913	1556:1631	1691:1891	1772:2067	1800:2107	1807:3190
Bucket 80 [0.79->0.8]	179:188	691:1568	883:894	1111:1137	1159:4480	1273:11820	1416:1681	1430:15757	1588:2164	1742:6793
Bucket 81 [0.8->0.81]	1253:1326	1415:86351	1423:1450	1543:1604	1626:15659	1635:4353	1641:2462	1748:3323	1770:1912	1796:10635
Bucket 82 [0.81->0.8200000000000001]	110:140	271:1869	1334:1728	1606:1751	1683:5222	1765:9718	1768:18613	1771:56965	1776:28338	1777:4001
Bucket 83 [0.8200000000000001->0.8300000000000001]	274:283	1242:7675	1422:2588	1535:38509	1690:1910	1697:76609	1754:46109	1763:4710	1769:1773	1782:25302
Bucket 84 [0.8300000000000001->0.84]	170:171	935:991	1075:1268	1311:1339	1501:5417	1565:14788	1645:1687	1661:6078	1692:2118	1700:6920
Bucket 85 [0.84->0.85]	1381:1531	1694:7999	1706:10735	1713:6203	1721:1874	1735:18816	1747:17430	1784:2338	1791:55818	1793:2304
Bucket 86 [0.85->0.86]	58:167	199:549	579:593	595:652	1520:1551	1521:1794	1537:10333	1548:14211	1559:2975	1599:1982
Bucket 87 [0.86->0.87]	671:766	1246:1524	1345:1411	1410:96108	1459:1534	1486:1667	1519:28435	1542:1567	1608:26929	1703:3828
Bucket 88 [0.87->0.88]	29:42	228:243	357:368	662:871	1229:8173	1235:8983	1264:1324	1323:1538	1395:1840	1401:8305
Bucket 89 [0.88->0.89]	172:175	359:362	412:19978	1353:1515	1388:2189	1437:1544	1647:63620	1650:8028	1673:7482	1676:71977
Bucket 90 [0.89->0.9]	120:2750	1064:4648	1140:1372	1148:1182	1314:36740	1468:1657	1547:12298	1603:44916	1637:1861	1642:3510
Bucket 91 [0.9->0.91]	1147:17028	1295:7001	1418:31622	1495:1598	1532:2593	1610:112565	1613:3925	1648:2070	1659:3586	1675:8095
Bucket 92 [0.91->0.92]	78:424	940:1160	976:24496	1290:4554	1370:2574	1400:4337	1445:26842	1470:2085	1480:19344	1516:6201
Bucket 93 [0.92->0.93]	395:469	539:548	961:1001	966:1006	1134:2328	1244:3179	1294:3583	1325:3703	1356:9692	1368:1394
Bucket 94 [0.93->0.9400000000000001]	47:72	392:80761	458:464	518:65799	635:651	664:682	714:57357	898:25584	918:29377	1018:1511
Bucket 95 [0.9400000000000001->0.9500000000000001]	254:272	345:351	447:466	771:791	923:951	1077:1079	1115:1359	1201:1213	1206:3047	1220:1252
Bucket 96 [0.9500000000000001->0.96]	250:305	457:494	805:2778	820:863	955:993	980:1066	1002:2679	1099:1141	1217:1449	1238:1258
Bucket 97 [0.96->0.97]	86:96	103:128	193:200	230:238	308:9768	321:325	360:37584	524:555	542:17501	576:589
Bucket 98 [0.97->0.98]	40:2703	74:13901	142:156	482:486	597:600	630:37416	712:945	837:876	886:911	936:937
Bucket 99 [0.98->0.99]	53:452	82:88	215:220	454:1476	477:515	497:541	606:625	773:21551	882:8458	1024:1027
Bucket 100 [0.99->1.0]	44:59	69:83	105:332	124:19922	132:34973	133:3524	334:95408	354:32882	434:65408	448:52811
Bucket 100 [1.]	207:28898	983:109764	1156:17770	1332:44249	1462:80620	1701:29843	1897:71020	2071:88883	2075:103224	2253:56622
