# A tibble: 36 × 12
# Groups:   k, sketchsize, bin [36]
       k sketchsize   bin     n  Dash1   FSS1 JItrue  Mash `PMH1-500000` `PMH1-50000000`   SS1 WJItrue
   <int>      <int> <dbl> <int>  <dbl>  <dbl>  <dbl> <dbl>         <dbl>           <dbl> <dbl>   <dbl>
 1    21       8192  0.7      2 0.881  0.0833  0.386 1.49          0.350           0.269 0.793   0.386
 2    21       8192  0.75     7 1.93   0.917   1.27  5.37          1.06            0.793 1.80    1.16 
 3    21       8192  0.8     10 0.410  0.259   0.178 1.09          0.908           0.690 0.233   0.202
 4    21       8192  0.85    35 0.947  1.50    0.865 1.58          1.39            1.33  1.54    0.881
 5    21       8192  0.9    117 1.20   0.937   0.839 1.18          1.70            1.57  0.906   0.887
 6    21       8192  0.95   839 1.97   1.66    1.55  2.05         28.7             1.81  1.71    1.53 
 7    21      32768  0.7      2 0.142  1.49    0.386 1.49          0.338           0.274 0.186   0.386
 8    21      32768  0.75     7 3.95   2.56    1.27  5.37          1.07            0.815 1.72    1.16 
 9    21      32768  0.8     10 0.254  0.189   0.178 0.193         0.920           0.698 0.178   0.202
10    21      32768  0.85    35 0.796  1.49    0.865 1.43          1.38            1.34  1.52    0.881
11    21      32768  0.9    117 0.973  0.931   0.839 0.923         1.62            1.56  0.894   0.887
12    21      32768  0.95   839 1.65   1.60    1.55  1.77         28.7             1.68  1.60    1.53 
13    21     131072  0.7      2 0.0659 0.795   0.386 1.49          0.341           0.269 1.49    0.386
14    21     131072  0.75     7 3.13   3.39    1.27  5.37          1.07            0.808 3.55    1.16 
15    21     131072  0.8     10 0.155  0.181   0.178 0.200         0.905           0.706 0.178   0.202
16    21     131072  0.85    35 1.54   0.785   0.865 1.49          1.37            1.33  0.812   0.881
17    21     131072  0.9    117 0.926  0.930   0.839 0.922         1.64            1.55  0.914   0.887
18    21     131072  0.95   839 1.60   1.57    1.55  1.63         28.8             1.66  1.57    1.53 
19    31       8192  0.7      2 0.919  0.783   0.167 1.49          0.394           0.346 0.810   0.167
20    31       8192  0.75     7 0.885  3.92    0.612 5.37          1.27            1.08  3.30    0.528
21    31       8192  0.8     10 2.17   0.490   0.533 2.81          1.17            1.00  0.537   0.542
22    31       8192  0.85    35 4.00   2.09    1.33  2.00          2.28            1.96  2.04    1.33 
23    31       8192  0.9    117 1.87   1.81    1.79  1.81          1.84            2.76  1.77    1.80 
24    31       8192  0.95   839 2.79   2.72    2.47  3.01         16.9             2.61  2.67    2.52 
25    31      32768  0.7      2 0.258  0.0333  0.167 1.49          0.398           0.350 0.134   0.167
26    31      32768  0.75     7 1.41   3.30    0.612 5.37          1.26            1.08  4.72    0.527
27    31      32768  0.8     10 0.583  0.506   0.533 0.419         1.17            1.00  0.488   0.553
28    31      32768  0.85    35 2.83   2.06    1.33  1.21          2.27            2.02  2.05    1.34 
29    31      32768  0.9    117 1.80   1.80    1.79  1.76          1.86            2.76  1.80    1.81 
30    31      32768  0.95   839 2.75   2.70    2.47  2.79         16.9             2.57  2.66    2.55 
31    31     131072  0.7      2 0.188  0.789   0.167 1.49          0.398           0.347 1.49    0.167
32    31     131072  0.75     7 1.15   3.89    0.612 5.37          1.25            1.08  2.40    0.527
33    31     131072  0.8     10 0.547  0.529   0.533 0.511         1.17            1.01  0.524   0.553
34    31     131072  0.85    35 1.20   1.33    1.33  1.27          2.28            2.02  2.03    1.34 
35    31     131072  0.9    117 1.87   1.82    1.79  1.82          1.84            2.74  1.81    1.81 
36    31     131072  0.95   839 2.70   2.69    2.47  2.70         16.9             2.60  2.71    2.55 
