# A tibble: 18 × 16
# Groups:   k, sketchsize, bin [18]
       k sketchsize   bin     n   BD1    BD2    BD4    BD8 Dash1  FSS1 JItrue  Mash `PMH1-500000` `PMH1-50000000`   SS1 WJItrue
   <int>      <int> <dbl> <int> <dbl>  <dbl>  <dbl>  <dbl> <dbl> <dbl>  <dbl> <dbl>         <dbl>           <dbl> <dbl>   <dbl>
 1    21       8192  0.85     8 0.134 0.0959 0.0931 0.110  0.152 0.125  0.129 0.177         0.228           0.218 0.140   0.132
 2    21       8192  0.9    117 0.995 0.931  1.00   1.13   1.20  0.937  0.839 1.18          1.70            1.57  0.906   0.887
 3    21       8192  0.95   839 1.59  1.71   1.83   2.25   1.97  1.66   1.55  2.05         28.7             1.81  1.71    1.53 
 4    21      32768  0.85     8 0.146 0.136  0.113  0.0959 0.137 0.121  0.129 0.144         0.229           0.240 0.149   0.132
 5    21      32768  0.9    117 1.02  0.920  0.908  0.931  0.973 0.931  0.839 0.923         1.62            1.56  0.894   0.887
 6    21      32768  0.95   839 1.58  1.56   1.57   1.71   1.65  1.60   1.55  1.77         28.7             1.68  1.60    1.53 
 7    21     131072  0.85     8 0.152 0.131  0.132  0.136  0.122 0.127  0.129 0.127         0.234           0.242 0.134   0.132
 8    21     131072  0.9    117 1.02  0.930  0.922  0.919  0.926 0.930  0.839 0.922         1.64            1.55  0.914   0.887
 9    21     131072  0.95   839 1.57  1.54   1.56   1.56   1.60  1.57   1.55  1.63         28.8             1.66  1.57    1.53 
10    31       8192  0.85     8 0.270 0.265  0.265  0.234  0.291 0.272  0.253 0.274         0.440           0.365 0.243   0.253
11    31       8192  0.9    117 1.88  1.70   1.66   1.61   1.87  1.81   1.79  1.81          1.84            2.76  1.77    1.80 
12    31       8192  0.95   839 2.76  2.69   2.59   2.73   2.79  2.72   2.47  3.01         16.9             2.61  2.67    2.52 
13    31      32768  0.85     8 0.268 0.257  0.249  0.265  0.249 0.247  0.253 0.262         0.433           0.386 0.264   0.254
14    31      32768  0.9    117 1.92  1.80   1.75   1.70   1.80  1.80   1.79  1.76          1.86            2.76  1.80    1.81 
15    31      32768  0.95   839 2.72  2.66   2.67   2.69   2.75  2.70   2.47  2.79         16.9             2.57  2.66    2.55 
16    31     131072  0.85     8 0.277 0.258  0.254  0.257  0.256 0.259  0.253 0.268         0.435           0.388 0.250   0.254
17    31     131072  0.9    117 1.94  1.81   1.81   1.79   1.87  1.82   1.79  1.82          1.84            2.74  1.81    1.81 
18    31     131072  0.95   839 2.75  2.65   2.63   2.66   2.70  2.69   2.47  2.70         16.9             2.60  2.71    2.55 
