# A tibble: 18 × 16
# Groups:   k, sketchsize, bin [18]
       k sketchsize   bin     n   BD1    BD2    BD4    BD8 Dash1  FSS1 JItrue   Mash `PMH1-500000` `PMH1-50000000`   SS1 WJItrue
   <int>      <int> <dbl> <int> <dbl>  <dbl>  <dbl>  <dbl> <dbl> <dbl>  <dbl>  <dbl>         <dbl>           <dbl> <dbl>   <dbl>
 1    21       8192  0.85     8 0.129 0.0838 0.0742 0.101  0.152 0.125  0.129 0.0805         0.228           0.218 0.140   0.132
 2    21       8192  0.9    117 0.995 0.875  0.860  0.798  0.989 0.933  0.839 0.935         -1.13            1.57  0.893   0.887
 3    21       8192  0.95   839 0.484 0.391  0.333  0.280  0.306 0.537 -0.119 0.158        -28.7            -0.128 0.512   0.198
 4    21      32768  0.85     8 0.146 0.136  0.108  0.0838 0.137 0.121  0.129 0.144          0.229           0.240 0.149   0.132
 5    21      32768  0.9    117 1.02  0.918  0.902  0.875  0.953 0.931  0.839 0.863         -1.13            1.56  0.894   0.887
 6    21      32768  0.95   839 0.552 0.467  0.394  0.391  0.432 0.548 -0.119 0.408        -28.7            -0.184 0.505   0.198
 7    21     131072  0.85     8 0.152 0.131  0.132  0.136  0.122 0.127  0.129 0.127          0.234           0.242 0.134   0.132
 8    21     131072  0.9    117 1.02  0.930  0.922  0.918  0.918 0.930  0.839 0.921         -1.17            1.55  0.914   0.887
 9    21     131072  0.95   839 0.597 0.472  0.461  0.467  0.479 0.525 -0.119 0.660        -28.8            -0.190 0.519   0.198
10    31       8192  0.85     8 0.270 0.265  0.265  0.224  0.291 0.272  0.253 0.274          0.440           0.365 0.243   0.253
11    31       8192  0.9    117 1.88  1.70   1.66   1.47   1.57  1.81   1.79  1.73           1.73            2.76  1.77    1.80 
12    31       8192  0.95   839 2.50  2.39   2.18   2.07   2.39  2.40   2.07  2.58         -16.8             2.20  2.40    2.15 
13    31      32768  0.85     8 0.268 0.257  0.249  0.265  0.249 0.247  0.253 0.262          0.433           0.386 0.264   0.254
14    31      32768  0.9    117 1.92  1.80   1.75   1.70   1.80  1.80   1.79  1.76           1.74            2.76  1.80    1.81 
15    31      32768  0.95   839 2.46  2.40   2.40   2.39   2.43  2.42   2.07  2.50         -16.8             2.17  2.40    2.23 
16    31     131072  0.85     8 0.277 0.258  0.254  0.257  0.256 0.259  0.253 0.268          0.435           0.388 0.250   0.254
17    31     131072  0.9    117 1.94  1.81   1.81   1.79   1.87  1.82   1.79  1.82           1.73            2.74  1.81    1.81 
18    31     131072  0.95   839 2.50  2.39   2.37   2.40   2.45  2.42   2.07  2.42         -16.9             2.20  2.44    2.23 
