# A tibble: 36 × 12
# Groups:   k, sketchsize, bin [36]
       k sketchsize   bin     n   Dash1     FSS1  JItrue    Mash `PMH1-500000` `PMH1-50000000`     SS1 WJItrue
   <int>      <int> <dbl> <int>   <dbl>    <dbl>   <dbl>   <dbl>         <dbl>           <dbl>   <dbl>   <dbl>
 1    21       8192  0.7      2 0.578   0.00543  0.0746  1.12           0.0613          0.0365 0.557   0.0744 
 2    21       8192  0.75     7 1.22    0.578    0.248   4.12           0.162           0.0925 1.22    0.209  
 3    21       8192  0.8     10 0.0229  0.00786  0.00398 0.726          0.0850          0.0487 0.00669 0.00481
 4    21       8192  0.85    35 0.0645  0.790    0.0884  0.797          0.0612          0.0553 0.791   0.0844 
 5    21       8192  0.9    117 0.0186  0.0102   0.00764 0.0169         0.0360          0.0265 0.00976 0.00832
 6    21       8192  0.95   839 0.0363  0.0198   0.0205  0.0224         1.15            0.0139 0.0260  0.0205 
 7    21      32768  0.7      2 0.0112  1.12     0.0746  1.12           0.0571          0.0379 0.0286  0.0744 
 8    21      32768  0.75     7 2.96    1.78     0.248   4.12           0.164           0.0975 1.17    0.209  
 9    21      32768  0.8     10 0.00942 0.00459  0.00398 0.00506        0.0866          0.0500 0.00416 0.00481
10    21      32768  0.85    35 0.0309  0.789    0.0884  0.789          0.0608          0.0553 0.790   0.0844 
11    21      32768  0.9    117 0.0108  0.00927  0.00764 0.00987        0.0327          0.0256 0.00882 0.00832
12    21      32768  0.95   839 0.0284  0.0213   0.0205  0.0214         1.15            0.0125 0.0226  0.0205 
13    21     131072  0.7      2 0.00235 0.563    0.0746  1.12           0.0582          0.0365 1.12    0.0744 
14    21     131072  0.75     7 2.33    2.42     0.248   4.12           0.164           0.0961 2.45    0.209  
15    21     131072  0.8     10 0.00332 0.00416  0.00398 0.00527        0.0838          0.0510 0.00395 0.00481
16    21     131072  0.85    35 0.791   0.0427   0.0884  0.789          0.0600          0.0544 0.0552  0.0844 
17    21     131072  0.9    117 0.00931 0.00904  0.00764 0.00924        0.0332          0.0249 0.00888 0.00832
18    21     131072  0.95   839 0.0252  0.0214   0.0205  0.0203         1.15            0.0128 0.0206  0.0205 
19    31       8192  0.7      2 0.585   0.556    0.0142  1.12           0.0776          0.0600 0.565   0.0141 
20    31       8192  0.75     7 0.116   2.94     0.0611  4.12           0.232           0.167  2.41    0.0461 
21    31       8192  0.8     10 1.41    0.0270   0.0301  2.08           0.137           0.102  0.0342  0.0311 
22    31       8192  0.85    35 2.36    0.822    0.0728  0.821          0.154           0.116  0.819   0.0733 
23    31       8192  0.9    117 0.0438  0.0325   0.0306  0.0367         0.0465          0.0735 0.0304  0.0310 
24    31       8192  0.95   839 0.0329  0.0251   0.0201  0.0295         0.414           0.0193 0.0216  0.0205 
25    31      32768  0.7      2 0.0339  0.000582 0.0142  1.12           0.0791          0.0615 0.00970 0.0142 
26    31      32768  0.75     7 0.661   2.40     0.0611  4.12           0.226           0.167  3.56    0.0459 
27    31      32768  0.8     10 0.0413  0.0279   0.0301  0.0215         0.138           0.102  0.0271  0.0321 
28    31      32768  0.85    35 1.58    0.820    0.0728  0.0466         0.153           0.121  0.819   0.0723 
29    31      32768  0.9    117 0.0327  0.0311   0.0306  0.0317         0.0468          0.0737 0.0315  0.0315 
30    31      32768  0.95   839 0.0268  0.0231   0.0201  0.0237         0.410           0.0193 0.0214  0.0209 
31    31     131072  0.7      2 0.0202  0.563    0.0142  1.12           0.0792          0.0603 1.12    0.0142 
32    31     131072  0.75     7 0.632   2.93     0.0611  4.12           0.225           0.167  1.73    0.0459 
33    31     131072  0.8     10 0.0335  0.0298   0.0301  0.0286         0.138           0.103  0.0290  0.0321 
34    31     131072  0.85    35 0.0453  0.0661   0.0728  0.0549         0.153           0.121  0.818   0.0723 
35    31     131072  0.9    117 0.0339  0.0315   0.0306  0.0322         0.0463          0.0728 0.0318  0.0315 
36    31     131072  0.95   839 0.0216  0.0223   0.0201  0.0218         0.412           0.0196 0.0222  0.0209 
