# A tibble: 120 × 10
# Groups:   k, sketchsize, bin [120]
        k sketchsize   bin     n Dash1   FSS1   FSS8   Mash    SS1    SS8
    <int>      <int> <dbl> <int> <dbl>  <dbl>  <dbl>  <dbl>  <dbl>  <dbl>
  1    21       8192  0       29 0.527 0.119  0.267  0.249  0.0976 0.251 
  2    21       8192  0.05    33 0.569 0.262  0.751  0.615  0.260  0.533 
  3    21       8192  0.1     37 0.799 0.333  0.886  0.819  0.342  0.774 
  4    21       8192  0.15    37 0.770 0.367  1.07   0.928  0.337  1.12  
  5    21       8192  0.2     50 0.946 0.696  1.24   1.57   0.561  1.62  
  6    21       8192  0.25    46 0.937 0.578  1.25   1.28   0.709  1.23  
  7    21       8192  0.3     52 1.16  0.711  1.14   1.31   0.640  2.08  
  8    21       8192  0.35    51 0.952 0.765  1.63   1.56   0.613  1.74  
  9    21       8192  0.4     52 1.22  0.647  1.58   1.78   0.742  2.07  
 10    21       8192  0.45    60 1.34  0.781  1.34   1.94   1.11   2.18  
 11    21       8192  0.5     53 1.17  1.11   1.95   2.00   0.904  1.85  
 12    21       8192  0.55    61 1.52  1.09   2.23   1.94   1.29   2.17  
 13    21       8192  0.6     58 1.69  1.35   2.41   2.23   1.64   2.55  
 14    21       8192  0.65    60 1.75  1.55   2.54   2.24   1.58   2.55  
 15    21       8192  0.7     61 2.03  1.42   2.44   2.96   1.69   2.64  
 16    21       8192  0.75    64 1.99  1.73   2.39   2.50   1.68   2.39  
 17    21       8192  0.8     59 1.50  1.47   2.50   1.99   1.52   2.14  
 18    21       8192  0.85    61 2.12  1.90   2.25   2.05   2.10   2.65  
 19    21       8192  0.9     52 1.28  1.37   1.64   1.77   1.42   1.53  
 20    21       8192  0.95    34 0.661 0.670  0.741  0.724  0.659  0.702 
 21    21      32768  0       29 0.238 0.0469 0.143  0.105  0.0598 0.126 
 22    21      32768  0.05    33 0.304 0.168  0.380  0.332  0.158  0.343 
 23    21      32768  0.1     37 0.402 0.199  0.435  0.460  0.210  0.521 
 24    21      32768  0.15    37 0.425 0.250  0.465  0.430  0.199  0.506 
 25    21      32768  0.2     50 0.569 0.365  0.833  0.824  0.316  0.688 
 26    21      32768  0.25    46 0.544 0.365  0.812  0.668  0.326  0.683 
 27    21      32768  0.3     52 0.553 0.476  0.783  0.701  0.401  0.927 
 28    21      32768  0.35    51 0.551 0.567  0.990  0.740  0.410  0.879 
 29    21      32768  0.4     52 0.720 0.580  0.879  0.974  0.555  1.11  
 30    21      32768  0.45    60 0.817 0.759  1.18   1.07   0.672  1.65  
 31    21      32768  0.5     53 0.745 0.775  1.22   0.942  0.630  0.900 
 32    21      32768  0.55    61 1.04  0.927  1.42   1.31   1.04   1.34  
 33    21      32768  0.6     58 1.33  1.26   1.55   1.63   1.40   1.82  
 34    21      32768  0.65    60 1.36  1.43   1.62   1.51   1.38   1.83  
 35    21      32768  0.7     61 1.48  1.47   1.61   1.90   1.44   1.91  
 36    21      32768  0.75    64 1.62  1.66   1.65   1.67   1.67   1.92  
 37    21      32768  0.8     59 1.33  1.37   1.56   1.32   1.35   1.74  
