# A tibble: 120 × 12
# Groups:   k, sketchsize, bin [120]
        k sketchsize   bin     n     BD1      BD2      BD4     BD8   Dash1     FSS1    Mash      SS1
    <int>      <int> <dbl> <int>   <dbl>    <dbl>    <dbl>   <dbl>   <dbl>    <dbl>   <dbl>    <dbl>
  1    21       8192  0        1 0.00561 0.00415  0.00220  0.00561 0.0151  0.00378  0.00561 0.00702 
  2    21       8192  0.05    15 0.135   0.203    0.245    0.259   0.311   0.119    0.364   0.120   
  3    21       8192  0.1     37 0.335   0.445    0.610    1.04    0.799   0.333    0.819   0.342   
  4    21       8192  0.15    37 0.390   0.517    0.614    0.965   0.770   0.367    0.928   0.337   
  5    21       8192  0.2     50 0.562   0.728    0.895    1.37    0.946   0.696    1.57    0.561   
  6    21       8192  0.25    46 0.478   0.638    0.828    1.42    0.937   0.578    1.28    0.709   
  7    21       8192  0.3     52 0.610   0.705    1.01     1.63    1.16    0.711    1.31    0.640   
  8    21       8192  0.35    51 0.786   0.888    1.39     1.75    0.952   0.765    1.56    0.613   
  9    21       8192  0.4     52 0.809   1.01     1.28     2.09    1.22    0.647    1.78    0.742   
 10    21       8192  0.45    60 0.889   1.38     1.79     2.40    1.34    0.781    1.94    1.11    
 11    21       8192  0.5     53 1.06    1.21     1.43     1.92    1.17    1.11     2.00    0.904   
 12    21       8192  0.55    61 1.21    1.53     1.83     2.47    1.52    1.09     1.94    1.29    
 13    21       8192  0.6     58 1.36    1.69     1.91     2.32    1.69    1.35     2.23    1.64    
 14    21       8192  0.65    60 1.32    1.75     2.08     2.53    1.75    1.55     2.24    1.58    
 15    21       8192  0.7     61 1.63    1.80     2.26     2.76    2.03    1.42     2.96    1.69    
 16    21       8192  0.75    64 1.61    1.92     2.07     2.65    1.99    1.73     2.50    1.68    
 17    21       8192  0.8     59 1.47    1.58     1.85     2.27    1.50    1.47     1.99    1.52    
 18    21       8192  0.85    61 1.93    2.08     2.23     2.22    2.12    1.90     2.05    2.10    
 19    21       8192  0.9     52 1.36    1.34     1.35     1.90    1.28    1.37     1.77    1.42    
 20    21       8192  0.95    34 0.631   0.597    0.647    0.760   0.661   0.670    0.724   0.659   
 21    21      32768  0        1 0.00268 0.00122  0.000732 0.00415 0.0108  0.000446 0.00171 0.00311 
 22    21      32768  0.05    15 0.0724  0.0922   0.135    0.203   0.145   0.0683   0.190   0.0808  
 23    21      32768  0.1     37 0.258   0.251    0.292    0.445   0.402   0.199    0.460   0.210   
 24    21      32768  0.15    37 0.271   0.263    0.350    0.517   0.425   0.250    0.430   0.199   
 25    21      32768  0.2     50 0.416   0.417    0.530    0.728   0.569   0.365    0.824   0.316   
 26    21      32768  0.25    46 0.342   0.494    0.480    0.636   0.544   0.365    0.668   0.326   
 27    21      32768  0.3     52 0.483   0.577    0.530    0.705   0.553   0.476    0.701   0.401   
 28    21      32768  0.35    51 0.552   0.595    0.779    0.888   0.551   0.567    0.740   0.410   
 29    21      32768  0.4     52 0.665   0.632    0.782    1.01    0.720   0.580    0.974   0.555   
 30    21      32768  0.45    60 0.831   0.840    0.867    1.38    0.817   0.759    1.07    0.672   
 31    21      32768  0.5     53 0.750   0.716    1.03     1.22    0.745   0.775    0.942   0.630   
 32    21      32768  0.55    61 1.00    1.11     1.15     1.53    1.04    0.927    1.31    1.04    
 33    21      32768  0.6     58 1.45    1.33     1.32     1.69    1.33    1.26     1.63    1.40    
 34    21      32768  0.65    60 1.30    1.19     1.29     1.75    1.36    1.43     1.51    1.38    
 35    21      32768  0.7     61 1.46    1.46     1.59     1.80    1.48    1.47     1.90    1.44    
 36    21      32768  0.75    64 1.70    1.67     1.58     1.92    1.62    1.66     1.67    1.67    
 37    21      32768  0.8     59 1.43    1.45     1.45     1.58    1.33    1.37     1.32    1.35    
 38    21      32768  0.85    61 1.95    2.00     1.91     2.08    1.89    1.88     1.83    1.92    
 39    21      32768  0.9     52 1.38    1.39     1.35     1.34    1.26    1.34     1.49    1.34    
 40    21      32768  0.95    34 0.637   0.624    0.630    0.597   0.622   0.648    0.695   0.639   
 41    21     131072  0        1 0.00348 0.000611 0.000489 0.00122 0.00730 0.00106  0.00220 0.000651
 42    21     131072  0.05    15 0.0730  0.0572   0.0623   0.0922  0.0819  0.0340   0.0852  0.0428  
 43    21     131072  0.1     37 0.195   0.162    0.191    0.250   0.185   0.115    0.226   0.117   
 44    21     131072  0.15    37 0.223   0.164    0.200    0.263   0.205   0.134    0.282   0.107   
 45    21     131072  0.2     50 0.384   0.295    0.317    0.417   0.314   0.250    0.494   0.242   
 46    21     131072  0.25    46 0.320   0.237    0.328    0.495   0.306   0.288    0.458   0.232   
 47    21     131072  0.3     52 0.549   0.431    0.386    0.577   0.379   0.375    0.909   0.368   
 48    21     131072  0.35    51 0.481   0.407    0.499    0.595   0.381   0.383    0.774   0.423   
 49    21     131072  0.4     52 0.684   0.565    0.591    0.631   0.496   0.527    0.956   0.584   
 50    21     131072  0.45    60 0.749   0.640    0.772    0.838   0.750   0.755    0.948   0.719   
 51    21     131072  0.5     53 0.784   0.671    0.678    0.716   0.783   0.748    0.995   0.686   
 52    21     131072  0.55    61 0.968   0.871    0.912    1.10    0.934   0.879    0.994   0.883   
 53    21     131072  0.6     58 1.32    1.28     1.39     1.33    1.27    1.24     1.46    1.18    
 54    21     131072  0.65    60 1.36    1.24     1.25     1.19    1.32    1.28     1.50    1.25    
 55    21     131072  0.7     61 1.47    1.42     1.42     1.46    1.40    1.46     1.58    1.39    
 56    21     131072  0.75    64 1.65    1.59     1.66     1.67    1.64    1.65     1.77    1.60    
 57    21     131072  0.8     59 1.39    1.37     1.40     1.45    1.40    1.38     1.33    1.29    
 58    21     131072  0.85    61 1.88    1.87     1.94     2.00    1.92    1.90     1.88    1.91    
 59    21     131072  0.9     52 1.32    1.32     1.37     1.39    1.31    1.33     1.51    1.35    
 60    21     131072  0.95    34 0.637   0.633    0.636    0.624   0.634   0.624    0.672   0.648   
 61    31       8192  0        8 0.0428  0.0285   0.0556   0.0835  0.133   0.0521   0.127   0.0405  
 62    31       8192  0.05    48 0.317   0.453    0.679    0.969   0.959   0.322    0.965   0.306   
 63    31       8192  0.1     48 0.449   0.640    0.928    1.10    0.903   0.438    1.04    0.356   
 64    31       8192  0.15    55 0.534   0.702    1.14     1.33    0.862   0.555    1.26    0.502   
 65    31       8192  0.2     52 0.553   0.771    1.18     1.63    0.812   0.596    1.64    0.492   
 66    31       8192  0.25    46 0.590   0.781    1.39     2.10    1.04    0.478    1.52    0.537   
 67    31       8192  0.3     52 0.829   0.858    1.07     1.40    0.947   0.678    1.61    0.796   
 68    31       8192  0.35    52 0.672   0.943    1.23     1.83    1.16    0.798    1.63    0.705   
 69    31       8192  0.4     56 0.846   1.38     1.53     1.76    1.10    0.882    2.00    0.881   
 70    31       8192  0.45    44 0.735   0.838    1.12     1.51    1.04    0.757    1.94    0.841   
 71    31       8192  0.5     55 0.880   1.07     1.47     2.14    1.19    0.685    2.17    0.739   
 72    31       8192  0.55    53 0.884   0.978    1.30     1.89    1.20    0.955    2.27    0.855   
 73    31       8192  0.6     49 1.12    1.44     1.54     2.00    1.32    1.12     2.35    1.17    
 74    31       8192  0.65    54 1.12    1.41     1.77     2.23    1.39    1.05     2.22    1.10    
 75    31       8192  0.7     57 1.55    1.59     1.87     2.84    1.81    1.57     2.49    1.47    
 76    31       8192  0.75    49 1.03    0.969    1.08     1.33    1.13    1.04     2.15    1.03    
 77    31       8192  0.8     45 0.928   1.14     1.22     1.28    1.10    0.928    1.87    0.804   
 78    31       8192  0.85    56 1.56    1.72     1.73     2.01    1.53    1.44     2.13    1.34    
 79    31       8192  0.9     50 1.08    1.14     1.22     1.44    1.19    0.966    1.15    1.11    
 80    31       8192  0.95    35 0.478   0.485    0.499    0.498   0.561   0.512    0.576   0.489   
 81    31      32768  0        8 0.0421  0.0335   0.0284   0.0285  0.0661  0.0188   0.0375  0.0248  
 82    31      32768  0.05    48 0.222   0.197    0.278    0.453   0.467   0.168    0.430   0.139   
 83    31      32768  0.1     48 0.271   0.295    0.422    0.640   0.476   0.188    0.517   0.224   
 84    31      32768  0.15    55 0.352   0.431    0.489    0.702   0.562   0.358    0.804   0.276   
 85    31      32768  0.2     52 0.406   0.440    0.503    0.769   0.591   0.303    0.762   0.265   
 86    31      32768  0.25    46 0.320   0.406    0.559    0.781   0.539   0.311    0.784   0.221   
 87    31      32768  0.3     52 0.462   0.578    0.778    0.858   0.611   0.392    0.871   0.444   
 88    31      32768  0.35    52 0.471   0.502    0.661    0.943   0.726   0.498    0.785   0.466   
 89    31      32768  0.4     56 0.673   0.616    0.776    1.38    0.674   0.593    0.981   0.538   
 90    31      32768  0.45    44 0.496   0.531    0.693    0.838   0.556   0.431    0.778   0.486   
 91    31      32768  0.5     55 0.652   0.692    0.828    1.07    0.716   0.564    1.29    0.537   
 92    31      32768  0.55    53 0.640   0.718    0.833    0.978   0.825   0.818    1.02    0.600   
 93    31      32768  0.6     49 0.996   0.946    1.09     1.44    1.16    0.998    1.40    0.965   
 94    31      32768  0.65    54 0.893   0.902    1.09     1.41    1.05    0.936    1.37    0.914   
 95    31      32768  0.7     57 1.42    1.41     1.51     1.59    1.38    1.43     1.68    1.38    
 96    31      32768  0.75    49 0.940   0.886    1.00     0.969   1.02    0.966    1.17    0.944   
 97    31      32768  0.8     45 0.911   0.879    0.902    1.13    0.910   0.905    1.15    0.881   
 98    31      32768  0.85    56 1.43    1.46     1.54     1.72    1.48    1.44     1.72    1.31    
 99    31      32768  0.9     50 1.03    1.13     1.07     1.14    1.11    1.04     1.07    1.12    
100    31      32768  0.95    35 0.472   0.476    0.474    0.485   0.506   0.501    0.468   0.483   
101    31     131072  0        8 0.0425  0.0149   0.0224   0.0335  0.0320  0.0162   0.0230  0.0120  
102    31     131072  0.05    48 0.205   0.114    0.152    0.197   0.206   0.119    0.220   0.107   
103    31     131072  0.1     48 0.223   0.167    0.216    0.295   0.252   0.0990   0.237   0.114   
104    31     131072  0.15    55 0.330   0.270    0.266    0.429   0.291   0.212    0.414   0.215   
105    31     131072  0.2     52 0.325   0.281    0.351    0.439   0.321   0.204    0.369   0.211   
106    31     131072  0.25    46 0.342   0.237    0.302    0.406   0.335   0.241    0.378   0.254   
107    31     131072  0.3     52 0.484   0.395    0.413    0.578   0.404   0.318    0.501   0.348   
108    31     131072  0.35    52 0.438   0.368    0.421    0.502   0.485   0.331    0.553   0.435   
109    31     131072  0.4     56 0.589   0.533    0.588    0.615   0.513   0.525    0.626   0.522   
110    31     131072  0.45    44 0.496   0.402    0.435    0.529   0.437   0.389    0.549   0.462   
111    31     131072  0.5     55 0.609   0.587    0.600    0.691   0.636   0.550    0.797   0.572   
112    31     131072  0.55    53 0.669   0.597    0.594    0.717   0.733   0.744    0.695   0.657   
113    31     131072  0.6     49 1.01    0.938    0.949    0.946   0.949   0.960    1.14    0.972   
114    31     131072  0.65    54 0.902   0.862    0.845    0.902   0.867   0.920    0.959   0.864   
115    31     131072  0.7     57 1.38    1.34     1.37     1.41    1.35    1.39     1.52    1.37    
116    31     131072  0.75    49 0.951   0.928    0.909    0.886   0.925   0.974    0.986   0.938   
117    31     131072  0.8     45 0.915   0.886    0.885    0.879   0.937   0.885    1.00    0.913   
118    31     131072  0.85    56 1.44    1.42     1.41     1.46    1.44    1.44     1.55    1.41    
119    31     131072  0.9     50 1.05    1.04     1.02     1.13    1.06    1.12     1.24    1.14    
120    31     131072  0.95    35 0.480   0.479    0.470    0.476   0.496   0.496    0.499   0.488   
