# A tibble: 120 × 12
# Groups:   k, sketchsize, bin [120]
        k sketchsize   bin     n     BD1       BD2       BD4      BD8    Dash1      FSS1     Mash       SS1
    <int>      <int> <dbl> <int>   <dbl>     <dbl>     <dbl>    <dbl>    <dbl>     <dbl>    <dbl>     <dbl>
  1    21       8192  0        1 0.00561 -0.00415  -0.00220   0.00561 -0.0151   0.00378   0.00561 -0.00702 
  2    21       8192  0.05    15 0.0327  -0.0493   -0.0278    0.0542   0.0254   0.0208    0.164   -0.00202 
  3    21       8192  0.1     37 0.187    0.0554    0.0750    0.106    0.425    0.172     0.00464  0.0268  
  4    21       8192  0.15    37 0.250    0.135     0.157     0.125    0.386    0.0626    0.188    0.0839  
  5    21       8192  0.2     50 0.273    0.0102   -0.0953   -0.248    0.202    0.154     0.276    0.362   
  6    21       8192  0.25    46 0.131    0.0773   -0.0125    0.241    0.301    0.267     0.0851   0.267   
  7    21       8192  0.3     52 0.417   -0.0966   -0.0634   -0.399   -0.140    0.672    -0.0712   0.180   
  8    21       8192  0.35    51 0.279    0.00232  -0.306    -0.338   -0.186    0.496     0.147    0.299   
  9    21       8192  0.4     52 0.417    0.386     0.431     0.638    0.430    0.399     0.740    0.535   
 10    21       8192  0.45    60 0.509    0.740     0.882     1.36     0.597    0.466     0.409    0.819   
 11    21       8192  0.5     53 0.801    0.831     0.710     0.562    0.312    0.775     0.171    0.651   
 12    21       8192  0.55    61 1.01     1.05      1.09      0.743    0.572    0.891     0.314    1.05    
 13    21       8192  0.6     58 1.26     1.44      1.37      1.33     1.31     1.26      0.759    1.40    
 14    21       8192  0.65    60 1.13     1.25      1.23      1.02     1.21     1.34      1.04     1.45    
 15    21       8192  0.7     61 1.52     1.69      1.77      2.11     1.61     1.20      1.76     1.56    
 16    21       8192  0.75    64 1.46     1.67      1.59      1.52     1.89     1.68      0.730    1.55    
 17    21       8192  0.8     59 1.43     1.48      1.28      1.44     1.33     1.35      0.647    1.45    
 18    21       8192  0.85    61 1.86     2.00      2.06      1.65     2.00     1.88      1.33     2.02    
 19    21       8192  0.9     52 1.31     1.28      1.23      1.77     1.25     1.37      1.55     1.41    
 20    21       8192  0.95    34 0.616    0.582     0.621     0.687    0.655    0.669     0.672    0.655   
 21    21      32768  0        1 0.00268 -0.00122   0.000732 -0.00415 -0.0108  -0.000446  0.00171 -0.00311 
 22    21      32768  0.05    15 0.0464   0.00585  -0.0210   -0.0493   0.0273   0.00556   0.0522   0.0362  
 23    21      32768  0.1     37 0.214    0.108     0.0730    0.0554   0.246    0.0769    0.0183   0.0658  
 24    21      32768  0.15    37 0.239    0.102     0.141     0.135    0.101    0.110     0.106    0.0665  
 25    21      32768  0.2     50 0.388    0.215     0.120     0.0102   0.189    0.303     0.204    0.217   
 26    21      32768  0.25    46 0.179    0.0124    0.00211   0.0754   0.123    0.302     0.177    0.241   
 27    21      32768  0.3     52 0.452    0.417     0.264    -0.0966   0.335    0.402     0.0323   0.328   
 28    21      32768  0.35    51 0.323    0.289     0.178     0.00232  0.198    0.447     0.141    0.349   
 29    21      32768  0.4     52 0.589    0.441     0.311     0.386    0.539    0.548     0.607    0.492   
 30    21      32768  0.45    60 0.756    0.655     0.426     0.740    0.553    0.700     0.204    0.578   
 31    21      32768  0.5     53 0.730    0.629     0.729     0.829    0.615    0.728     0.740    0.558   
 32    21      32768  0.55    61 0.971    1.01      0.906     1.05     0.757    0.820     0.870    0.975   
 33    21      32768  0.6     58 1.38     1.28      1.20      1.44     1.28     1.24      1.38     1.35    
 34    21      32768  0.65    60 1.26     1.06      1.07      1.25     1.22     1.39      0.999    1.33    
