# A tibble: 36 × 16
# Groups:   k, sketchsize, bin [36]
       k sketchsize   bin     n    BD1   BD8  Dash1   FSS1  FSS8 JItrue  Mash `PMH1-50000000`    SM   SS1   SS8 WJItrue
   <int>      <int> <dbl> <int>  <dbl> <dbl>  <dbl>  <dbl> <dbl>  <dbl> <dbl>           <dbl> <dbl> <dbl> <dbl>   <dbl>
 1    21       8192  0.7      2 0.0545 1.49  0.881  0.0833 1.49   0.386 1.49            0.269 1.49  0.793 1.49    0.386
 2    21       8192  0.75     7 0.852  5.37  1.93   0.917  5.37   1.27  5.37            0.793 5.37  1.80  5.37    1.16 
 3    21       8192  0.8     10 0.274  1.17  0.410  0.259  1.88   0.178 1.09            0.690 1.08  0.233 0.279   0.202
 4    21       8192  0.85    35 0.749  2.37  0.947  1.50   1.69   0.865 1.58            1.33  1.57  1.54  1.61    0.881
 5    21       8192  0.9    117 0.995  1.13  1.20   0.937  1.03   0.839 1.18            1.57  1.18  0.906 1.14    0.887
 6    21       8192  0.95   839 1.59   2.25  1.97   1.66   2.01   1.55  2.05            1.81  2.05  1.71  2.44    1.53 
 7    21      32768  0.7      2 0.0717 1.49  0.142  1.49   1.49   0.386 1.49            0.274 1.49  0.186 1.49    0.386
 8    21      32768  0.75     7 0.0995 5.37  3.95   2.56   3.90   1.27  5.37            0.815 5.37  1.72  5.37    1.16 
 9    21      32768  0.8     10 0.234  0.252 0.254  0.189  0.280  0.178 0.193           0.698 0.188 0.178 0.266   0.202
10    21      32768  0.85    35 0.803  1.43  0.796  1.49   0.784  0.865 1.43            1.34  1.43  1.52  1.52    0.881
11    21      32768  0.9    117 1.02   0.931 0.973  0.931  0.905  0.839 0.923           1.56  0.924 0.894 0.989   0.887
12    21      32768  0.95   839 1.58   1.71  1.65   1.60   1.70   1.55  1.77            1.68  1.77  1.60  1.78    1.53 
13    21     131072  0.7      2 0.0482 1.49  0.0659 0.795  1.49   0.386 1.49            0.269 1.49  1.49  1.49    0.386
14    21     131072  0.75     7 0.0796 5.37  3.13   3.39   3.98   1.27  5.37            0.808 5.37  3.55  4.70    1.16 
15    21     131072  0.8     10 0.251  0.193 0.155  0.181  0.199  0.178 0.200           0.706 0.204 0.178 0.199   0.202
16    21     131072  0.85    35 0.820  1.46  1.54   0.785  0.845  0.865 1.49            1.33  1.49  0.812 1.51    0.881
17    21     131072  0.9    117 1.02   0.919 0.926  0.930  0.919  0.839 0.922           1.55  0.921 0.914 0.888   0.887
18    21     131072  0.95   839 1.57   1.56  1.60   1.57   1.62   1.55  1.63            1.66  1.63  1.57  1.60    1.53 
19    31       8192  0.7      2 0.200  1.49  0.919  0.783  1.49   0.167 1.49            0.346 1.49  0.810 1.49    0.167
20    31       8192  0.75     7 0.558  5.37  0.885  3.92   5.37   0.612 5.37            1.08  5.37  3.30  5.37    0.527
21    31       8192  0.8     10 0.582  3.67  2.17   0.490  0.573  0.533 2.81            1.00  2.81  0.537 3.61    0.553
22    31       8192  0.85    35 1.34   4.56  4.00   2.09   2.95   1.33  2.00            1.96  1.99  2.04  2.84    1.34 
23    31       8192  0.9    117 1.88   1.61  1.87   1.81   1.71   1.79  1.81            2.76  1.81  1.77  1.68    1.81 
24    31       8192  0.95   839 2.76   2.73  2.79   2.72   3.69   2.47  3.01            2.61  3.01  2.67  2.76    2.55 
25    31      32768  0.7      2 0.191  1.49  0.258  0.0333 1.49   0.167 1.49            0.350 1.49  0.134 1.49    0.167
26    31      32768  0.75     7 0.560  5.37  1.41   3.30   5.37   0.612 5.37            1.08  5.37  4.72  5.37    0.527
27    31      32768  0.8     10 0.618  0.476 0.583  0.506  0.512  0.533 0.419           1.00  0.426 0.488 0.412   0.553
28    31      32768  0.85    35 1.31   2.08  2.83   2.06   2.08   1.33  1.21            2.02  1.21  2.05  2.02    1.34 
29    31      32768  0.9    117 1.92   1.70  1.80   1.80   1.82   1.79  1.76            2.76  1.76  1.80  1.74    1.81 
30    31      32768  0.95   839 2.72   2.69  2.75   2.70   2.73   2.47  2.79            2.57  2.79  2.66  2.65    2.55 
31    31     131072  0.7      2 0.198  1.49  0.188  0.789  1.49   0.167 1.49            0.347 1.49  1.49  1.49    0.167
32    31     131072  0.75     7 0.541  5.37  1.15   3.89   5.37   0.612 5.37            1.08  5.37  2.40  5.37    0.527
33    31     131072  0.8     10 0.619  0.532 0.547  0.529  0.517  0.533 0.511           1.01  0.511 0.524 0.490   0.553
34    31     131072  0.85    35 1.32   2.07  1.20   1.33   2.08   1.33  1.27            2.02  2.05  2.03  2.03    1.34 
35    31     131072  0.9    117 1.94   1.79  1.87   1.82   1.79   1.79  1.82            2.74  1.82  1.81  1.78    1.81 
36    31     131072  0.95   839 2.75   2.66  2.70   2.69   2.74   2.47  2.70            2.60  2.70  2.71  2.66    2.55 
