# A tibble: 18 × 16
# Groups:   k, sketchsize, bin [18]
       k sketchsize   bin     n   BD1    BD8 Dash1  FSS1  FSS8 JItrue  Mash `PMH1-50000000`    SM   SS1   SS8 WJItrue
   <int>      <int> <dbl> <int> <dbl>  <dbl> <dbl> <dbl> <dbl>  <dbl> <dbl>           <dbl> <dbl> <dbl> <dbl>   <dbl>
 1    21       8192  0.85     8 0.134 0.110  0.152 0.125 0.168  0.129 0.177           0.218 0.177 0.140 0.127   0.132
 2    21       8192  0.9    117 0.995 1.13   1.20  0.937 1.03   0.839 1.18            1.57  1.18  0.906 1.14    0.887
 3    21       8192  0.95   839 1.59  2.25   1.97  1.66  2.01   1.55  2.05            1.81  2.05  1.71  2.44    1.53 
 4    21      32768  0.85     8 0.146 0.0959 0.137 0.121 0.124  0.129 0.144           0.240 0.144 0.149 0.128   0.132
 5    21      32768  0.9    117 1.02  0.931  0.973 0.931 0.905  0.839 0.923           1.56  0.924 0.894 0.989   0.887
 6    21      32768  0.95   839 1.58  1.71   1.65  1.60  1.70   1.55  1.77            1.68  1.77  1.60  1.78    1.53 
 7    21     131072  0.85     8 0.152 0.136  0.122 0.127 0.125  0.129 0.127           0.242 0.127 0.134 0.139   0.132
 8    21     131072  0.9    117 1.02  0.919  0.926 0.930 0.919  0.839 0.922           1.55  0.921 0.914 0.888   0.887
 9    21     131072  0.95   839 1.57  1.56   1.60  1.57  1.62   1.55  1.63            1.66  1.63  1.57  1.60    1.53 
10    31       8192  0.85     8 0.270 0.234  0.291 0.272 0.280  0.253 0.274           0.365 0.274 0.243 0.207   0.254
11    31       8192  0.9    117 1.88  1.61   1.87  1.81  1.71   1.79  1.81            2.76  1.81  1.77  1.68    1.81 
12    31       8192  0.95   839 2.76  2.73   2.79  2.72  3.69   2.47  3.01            2.61  3.01  2.67  2.76    2.55 
13    31      32768  0.85     8 0.268 0.265  0.249 0.247 0.292  0.253 0.262           0.386 0.262 0.264 0.230   0.254
14    31      32768  0.9    117 1.92  1.70   1.80  1.80  1.82   1.79  1.76            2.76  1.76  1.80  1.74    1.81 
15    31      32768  0.95   839 2.72  2.69   2.75  2.70  2.73   2.47  2.79            2.57  2.79  2.66  2.65    2.55 
16    31     131072  0.85     8 0.277 0.257  0.256 0.259 0.257  0.253 0.268           0.388 0.267 0.250 0.257   0.254
17    31     131072  0.9    117 1.94  1.79   1.87  1.82  1.79   1.79  1.82            2.74  1.82  1.81  1.78    1.81 
18    31     131072  0.95   839 2.75  2.66   2.70  2.69  2.74   2.47  2.70            2.60  2.70  2.71  2.66    2.55 
