# A tibble: 36 × 16
# Groups:   k, sketchsize, bin [36]
       k sketchsize   bin     n      BD1    BD8   Dash1     FSS1   FSS8 JItrue    Mash `PMH1-50000000`      SM    SS1     SS8 WJItrue
   <int>      <int> <dbl> <int>    <dbl>  <dbl>   <dbl>    <dbl>  <dbl>  <dbl>   <dbl>           <dbl>   <dbl>  <dbl>   <dbl>   <dbl>
 1    21       8192  0.7      2  0.0545  -1.49  -0.617  -0.0627  -1.49  -0.386 -1.49             0.269 -1.49   -0.697 -1.49    -0.386
 2    21       8192  0.75     7 -0.753   -5.37  -1.14   -0.832   -5.37  -1.27  -5.37             0.793 -5.37   -1.80  -5.37    -1.16 
 3    21       8192  0.8     10  0.274   -0.468  0.410   0.193   -1.43   0.178 -0.758            0.690 -0.754   0.191  0.214    0.202
 4    21       8192  0.85    35  0.483   -1.32   0.531  -0.261   -0.319  0.313 -0.497            1.28  -0.498  -0.226 -0.385    0.347
 5    21       8192  0.9    117  0.995    0.798  0.989   0.933    0.595  0.839  0.935            1.57   0.935   0.893  0.838    0.887
 6    21       8192  0.95   839  0.484    0.280  0.306   0.537    0.303 -0.119  0.158           -0.128  0.158   0.512 -0.0140   0.198
 7    21      32768  0.7      2  0.0717  -1.49   0.142  -1.49    -1.49  -0.386 -1.49             0.274 -1.49   -0.186 -1.49    -0.386
 8    21      32768  0.75     7  0.00176 -5.37  -3.74   -2.56    -3.90  -1.27  -5.37             0.815 -5.37   -1.72  -5.37    -1.16 
 9    21      32768  0.8     10  0.234    0.252  0.165   0.173    0.146  0.178  0.0850           0.698  0.0888  0.178  0.247    0.202
10    21      32768  0.85    35  0.544   -0.398  0.553  -0.270    0.485  0.313 -0.330            1.31  -0.331  -0.242 -0.272    0.347
11    21      32768  0.9    117  1.02     0.875  0.953   0.931    0.876  0.839  0.863            1.56   0.863   0.894  0.958    0.887
12    21      32768  0.95   839  0.552    0.391  0.432   0.548    0.470 -0.119  0.408           -0.184  0.408   0.505  0.552    0.198
13    21     131072  0.7      2  0.0482  -1.49  -0.0190 -0.795   -1.49  -0.386 -1.49             0.269 -1.49   -1.49  -1.49    -0.386
14    21     131072  0.75     7  0.0190  -5.37  -3.05   -3.39    -3.98  -1.27  -5.37             0.808 -5.37   -3.55  -4.70    -1.16 
15    21     131072  0.8     10  0.251    0.184  0.110   0.181    0.184  0.178  0.200            0.706  0.204   0.178  0.199    0.202
16    21     131072  0.85    35  0.578   -0.304 -0.225   0.440    0.421  0.313 -0.271            1.31  -0.269   0.402 -0.248    0.347
17    21     131072  0.9    117  1.02     0.918  0.918   0.930    0.919  0.839  0.921            1.55   0.920   0.914  0.888    0.887
18    21     131072  0.95   839  0.597    0.467  0.479   0.525    0.478 -0.119  0.660           -0.190  0.660   0.519  0.480    0.198
19    31       8192  0.7      2  0.200   -1.49  -0.571  -0.706   -1.49  -0.167 -1.49             0.346 -1.49   -0.688 -1.49    -0.167
20    31       8192  0.75     7  0.558   -5.37   0.631  -3.74    -5.37  -0.612 -5.37             1.08  -5.37   -2.89  -5.37    -0.527
21    31       8192  0.8     10  0.582   -2.92  -1.14    0.490    0.573  0.533 -2.16             1.00  -2.16    0.527 -2.99     0.553
22    31       8192  0.85    35  1.27    -2.46  -1.83    0.325   -0.571  0.978  0.235            1.96   0.233   0.276 -0.692    1.00 
23    31       8192  0.9    117  1.88     1.47   1.57    1.81     1.59   1.79   1.73             2.76   1.73    1.77   1.54     1.81 
24    31       8192  0.95   839  2.50     2.07   2.39    2.40     1.44   2.07   2.58             2.20   2.58    2.40   2.18     2.23 
25    31      32768  0.7      2  0.191   -1.49   0.258   0.00744 -1.49  -0.167 -1.49             0.350 -1.49    0.134 -1.49    -0.167
26    31      32768  0.75     7  0.560   -5.37  -0.117  -3.12    -5.37  -0.612 -5.37             1.08  -5.37   -4.72  -5.37    -0.527
27    31      32768  0.8     10  0.618    0.476  0.583   0.506    0.512  0.533  0.419            1.00   0.426   0.488  0.412    0.553
28    31      32768  0.85    35  1.24     0.321 -0.678   0.297    0.318  0.978  1.09             2.02   1.09    0.287  0.258    1.00 
29    31      32768  0.9    117  1.92     1.70   1.80    1.80     1.82   1.79   1.76             2.76   1.76    1.80   1.74     1.81 
30    31      32768  0.95   839  2.46     2.39   2.43    2.42     2.41   2.07   2.50             2.17   2.50    2.40   2.36     2.23 
31    31     131072  0.7      2  0.198   -1.49   0.188  -0.709   -1.49  -0.167 -1.49             0.347 -1.49   -1.49  -1.49    -0.167
32    31     131072  0.75     7  0.541   -5.37  -0.408  -3.86    -5.37  -0.612 -5.37             1.08  -5.37   -2.19  -5.37    -0.527
33    31     131072  0.8     10  0.619    0.532  0.547   0.529    0.517  0.533  0.511            1.01   0.511   0.524  0.490    0.553
34    31     131072  0.85    35  1.23     0.313  1.13    1.03     0.320  0.978  1.06             2.02   0.287   0.273  0.268    1.00 
35    31     131072  0.9    117  1.94     1.79   1.87    1.82     1.79   1.79   1.82             2.74   1.82    1.81   1.78     1.81 
36    31     131072  0.95   839  2.50     2.40   2.45    2.42     2.45   2.07   2.42             2.20   2.42    2.44   2.38     2.23 
