# A tibble: 36 × 16
# Groups:   k, sketchsize, bin [36]
       k sketchsize   bin     n     BD1     BD8   Dash1     FSS1    FSS8  JItrue    Mash `PMH1-50000000`      SM     SS1     SS8 WJItrue
   <int>      <int> <dbl> <int>   <dbl>   <dbl>   <dbl>    <dbl>   <dbl>   <dbl>   <dbl>           <dbl>   <dbl>   <dbl>   <dbl>   <dbl>
 1    21       8192  0.7      2 0.00150 1.12    0.578   0.00543  1.12    0.0746  1.12             0.0365 1.12    0.557   1.12    0.0744 
 2    21       8192  0.75     7 0.569   4.12    1.22    0.578    4.12    0.248   4.12             0.0925 4.12    1.22    4.12    0.209  
 3    21       8192  0.8     10 0.00901 0.686   0.0229  0.00786  1.38    0.00398 0.726            0.0487 0.726   0.00669 0.0112  0.00481
 4    21       8192  0.85    35 0.0297  1.54    0.0645  0.790    0.800   0.0884  0.797            0.0553 0.796   0.791   0.796   0.0844 
 5    21       8192  0.9    117 0.0115  0.0163  0.0186  0.0102   0.0157  0.00764 0.0169           0.0265 0.0169  0.00976 0.0167  0.00832
 6    21       8192  0.95   839 0.0189  0.0247  0.0363  0.0198   0.0307  0.0205  0.0224           0.0139 0.0225  0.0260  0.0455  0.0205 
 7    21      32768  0.7      2 0.00263 1.12    0.0112  1.12     1.12    0.0746  1.12             0.0379 1.12    0.0286  1.12    0.0744 
 8    21      32768  0.75     7 0.00199 4.12    2.96    1.78     2.96    0.248   4.12             0.0975 4.12    1.17    4.12    0.209  
 9    21      32768  0.8     10 0.00637 0.00850 0.00942 0.00459  0.00932 0.00398 0.00506          0.0500 0.00493 0.00416 0.00852 0.00481
10    21      32768  0.85    35 0.0322  0.787   0.0309  0.789    0.0372  0.0884  0.789            0.0553 0.789   0.790   0.791   0.0844 
11    21      32768  0.9    117 0.0109  0.0107  0.0108  0.00927  0.00975 0.00764 0.00987          0.0256 0.00988 0.00882 0.0114  0.00832
12    21      32768  0.95   839 0.0199  0.0240  0.0284  0.0213   0.0179  0.0205  0.0214           0.0125 0.0215  0.0226  0.0210  0.0205 
13    21     131072  0.7      2 0.00118 1.12    0.00235 0.563    1.12    0.0746  1.12             0.0365 1.12    1.12    1.12    0.0744 
14    21     131072  0.75     7 0.00101 4.12    2.33    2.42     2.96    0.248   4.12             0.0961 4.12    2.45    3.56    0.209  
15    21     131072  0.8     10 0.00700 0.00516 0.00332 0.00416  0.00520 0.00398 0.00527          0.0510 0.00539 0.00395 0.00467 0.00481
16    21     131072  0.85    35 0.0307  0.788   0.791   0.0427   0.0586  0.0884  0.789            0.0544 0.789   0.0552  0.790   0.0844 
17    21     131072  0.9    117 0.0105  0.00952 0.00931 0.00904  0.00932 0.00764 0.00924          0.0249 0.00923 0.00888 0.00898 0.00832
18    21     131072  0.95   839 0.0196  0.0215  0.0252  0.0214   0.0218  0.0205  0.0203           0.0128 0.0202  0.0206  0.0206  0.0205 
19    31       8192  0.7      2 0.0201  1.12    0.585   0.556    1.12    0.0142  1.12             0.0600 1.12    0.565   1.12    0.0142 
20    31       8192  0.75     7 0.0467  4.12    0.116   2.94     4.12    0.0611  4.12             0.167  4.12    2.41    4.12    0.0459 
21    31       8192  0.8     10 0.0353  2.74    1.41    0.0270   0.0359  0.0301  2.08             0.102  2.08    0.0342  2.75    0.0321 
22    31       8192  0.85    35 0.0544  3.12    2.36    0.822    1.60    0.0728  0.821            0.116  0.821   0.819   1.58    0.0723 
23    31       8192  0.9    117 0.0345  0.0311  0.0438  0.0325   0.0342  0.0306  0.0367           0.0735 0.0367  0.0304  0.0316  0.0315 
24    31       8192  0.95   839 0.0218  0.0244  0.0329  0.0251   0.988   0.0201  0.0295           0.0193 0.0294  0.0216  0.0253  0.0209 
25    31      32768  0.7      2 0.0185  1.12    0.0339  0.000582 1.12    0.0142  1.12             0.0615 1.12    0.00970 1.12    0.0142 
26    31      32768  0.75     7 0.0463  4.12    0.661   2.40     4.12    0.0611  4.12             0.167  4.12    3.56    4.12    0.0459 
27    31      32768  0.8     10 0.0391  0.0251  0.0413  0.0279   0.0288  0.0301  0.0215           0.102  0.0220  0.0271  0.0209  0.0321 
28    31      32768  0.85    35 0.0526  0.822   1.58    0.820    0.821   0.0728  0.0466           0.121  0.0464  0.819   0.819   0.0723 
29    31      32768  0.9    117 0.0353  0.0298  0.0327  0.0311   0.0338  0.0306  0.0317           0.0737 0.0317  0.0315  0.0302  0.0315 
30    31      32768  0.95   839 0.0215  0.0220  0.0268  0.0231   0.0248  0.0201  0.0237           0.0193 0.0237  0.0214  0.0217  0.0209 
31    31     131072  0.7      2 0.0196  1.12    0.0202  0.563    1.12    0.0142  1.12             0.0603 1.12    1.12    1.12    0.0142 
32    31     131072  0.75     7 0.0428  4.12    0.632   2.93     4.12    0.0611  4.12             0.167  4.12    1.73    4.12    0.0459 
33    31     131072  0.8     10 0.0397  0.0295  0.0335  0.0298   0.0284  0.0301  0.0286           0.103  0.0286  0.0290  0.0270  0.0321 
34    31     131072  0.85    35 0.0524  0.821   0.0453  0.0661   0.821   0.0728  0.0549           0.121  0.820   0.818   0.818   0.0723 
35    31     131072  0.9    117 0.0358  0.0314  0.0339  0.0315   0.0311  0.0306  0.0322           0.0728 0.0322  0.0318  0.0309  0.0315 
36    31     131072  0.95   839 0.0222  0.0209  0.0216  0.0223   0.0237  0.0201  0.0218           0.0196 0.0218  0.0222  0.0220  0.0209 
