# A tibble: 120 × 13
# Groups:   k, sketchsize, bin [120]
        k sketchsize   bin     n        BD1        BD8     Dash1        FSS1       FSS8       Mash         SM         SS1        SS8
    <int>      <int> <dbl> <int>      <dbl>      <dbl>     <dbl>       <dbl>      <dbl>      <dbl>      <dbl>       <dbl>      <dbl>
  1    21       8192  0        1 0.0000315  0.0000315  0.000228  0.0000143   0.000100   0.0000315  0.0000288  0.0000493   0.000318  
  2    21       8192  0.05    15 0.00183    0.00741    0.0124    0.00153     0.0107     0.0143     0.0144     0.00143     0.00737   
  3    21       8192  0.1     37 0.00476    0.0408     0.0265    0.00427     0.0292     0.0277     0.0277     0.00452     0.0285    
  4    21       8192  0.15    37 0.00642    0.0449     0.0230    0.00555     0.0493     0.0362     0.0361     0.00546     0.0592    
  5    21       8192  0.2     50 0.0101     0.0620     0.0262    0.0137      0.0515     0.0860     0.0861     0.00998     0.0771    
  6    21       8192  0.25    46 0.00813    0.0618     0.0319    0.0115      0.0457     0.0607     0.0605     0.0162      0.0562    
  7    21       8192  0.3     52 0.0117     0.0799     0.0423    0.0163      0.0453     0.0563     0.0561     0.0121      0.121     
  8    21       8192  0.35    51 0.0166     0.0968     0.0296    0.0177      0.0923     0.0773     0.0774     0.0109      0.0933    
  9    21       8192  0.4     52 0.0195     0.121      0.0416    0.0135      0.0720     0.0983     0.0985     0.0171      0.122     
 10    21       8192  0.45    60 0.0239     0.139      0.0493    0.0160      0.0539     0.0974     0.0970     0.0327      0.114     
 11    21       8192  0.5     53 0.0327     0.108      0.0356    0.0344      0.113      0.121      0.121      0.0248      0.0954    
 12    21       8192  0.55    61 0.0499     0.152      0.0631    0.0402      0.122      0.0977     0.0978     0.0488      0.125     
 13    21       8192  0.6     58 0.107      0.195      0.125     0.105       0.191      0.167      0.167      0.114       0.212     
 14    21       8192  0.65    60 0.0675     0.171      0.0929    0.0808      0.175      0.160      0.161      0.0921      0.198     
 15    21       8192  0.7     61 0.0937     0.202      0.125     0.0923      0.170      0.219      0.218      0.0956      0.201     
 16    21       8192  0.75    64 0.0650     0.158      0.0950    0.0743      0.141      0.134      0.134      0.0678      0.138     
 17    21       8192  0.8     59 0.0651     0.140      0.0715    0.0694      0.177      0.104      0.104      0.0704      0.121     
 18    21       8192  0.85    61 0.104      0.135      0.120     0.110       0.129      0.129      0.129      0.117       0.161     
 19    21       8192  0.9     52 0.0469     0.0844     0.0497    0.0500      0.0721     0.0783     0.0782     0.0537      0.0616    
 20    21       8192  0.95    34 0.0155     0.0220     0.0166    0.0170      0.0202     0.0206     0.0205     0.0165      0.0189    
 21    21      32768  0        1 0.00000721 0.0000172  0.000116  0.000000199 0.000132   0.00000292 0.00000186 0.00000968  0.0000134 
 22    21      32768  0.05    15 0.000440   0.00389    0.00237   0.000431    0.00345    0.00312    0.00316    0.000742    0.00287   
 23    21      32768  0.1     37 0.00231    0.00850    0.00656   0.00146     0.00792    0.00833    0.00833    0.00165     0.00995   
 24    21      32768  0.15    37 0.00327    0.0113     0.00761   0.00251     0.0103     0.00779    0.00785    0.00171     0.0110    
 25    21      32768  0.2     50 0.00554    0.0196     0.0109    0.00428     0.0210     0.0196     0.0196     0.00301     0.0135    
 26    21      32768  0.25    46 0.00562    0.0131     0.0113    0.00650     0.0205     0.0150     0.0149     0.00547     0.0198    
 27    21      32768  0.3     52 0.00690    0.0148     0.0114    0.00749     0.0197     0.0159     0.0159     0.00512     0.0253    
 28    21      32768  0.35    51 0.00799    0.0252     0.00940   0.00901     0.0282     0.0187     0.0187     0.00518     0.0237    
 29    21      32768  0.4     52 0.0137     0.0301     0.0151    0.0107      0.0237     0.0335     0.0334     0.0105      0.0346    
 30    21      32768  0.45    60 0.0191     0.0520     0.0180    0.0158      0.0341     0.0321     0.0322     0.0118      0.0672    
 31    21      32768  0.5     53 0.0178     0.0441     0.0167    0.0182      0.0415     0.0271     0.0272     0.0127      0.0245    
 32    21      32768  0.55    61 0.0362     0.0717     0.0333    0.0290      0.0570     0.0445     0.0446     0.0375      0.0502    
 33    21      32768  0.6     58 0.106      0.128      0.111     0.100       0.112      0.124      0.123      0.108       0.135     
 34    21      32768  0.65    60 0.0666     0.0937     0.0722    0.0717      0.0919     0.0902     0.0905     0.0745      0.117     
 35    21      32768  0.7     61 0.0889     0.107      0.0924    0.0902      0.0980     0.117      0.117      0.0848      0.109     
 36    21      32768  0.75    64 0.0644     0.0901     0.0613    0.0681      0.0766     0.0690     0.0690     0.0624      0.0879    
 37    21      32768  0.8     59 0.0607     0.0779     0.0574    0.0608      0.0744     0.0610     0.0610     0.0585      0.0842    
 38    21      32768  0.85    61 0.105      0.120      0.107     0.107       0.106      0.106      0.106      0.104       0.126     
 39    21      32768  0.9     52 0.0493     0.0487     0.0454    0.0485      0.0538     0.0588     0.0588     0.0474      0.0498    
 40    21      32768  0.95    34 0.0157     0.0147     0.0149    0.0157      0.0175     0.0189     0.0188     0.0157      0.0160    
 41    21     131072  0        1 0.0000121  0.00000149 0.0000532 0.00000113  0.00000149 0.00000482 0.00000559 0.000000423 0.00000149
 42    21     131072  0.05    15 0.000451   0.000894   0.000668  0.000143    0.000907   0.000599   0.000609   0.000242    0.000907  
 43    21     131072  0.1     37 0.00134    0.00231    0.00157   0.000587    0.00225    0.00217    0.00221    0.000516    0.00195   
 44    21     131072  0.15    37 0.00202    0.00307    0.00205   0.000849    0.00358    0.00298    0.00300    0.000507    0.00315   
 45    21     131072  0.2     50 0.00394    0.00589    0.00293   0.00208     0.00526    0.00810    0.00811    0.00176     0.00507   
 46    21     131072  0.25    46 0.00471    0.00804    0.00580   0.00445     0.00621    0.00895    0.00892    0.00361     0.00843   
 47    21     131072  0.3     52 0.00746    0.00952    0.00472   0.00450     0.0109     0.0215     0.0215     0.00397     0.00564   
 48    21     131072  0.35    51 0.00603    0.00993    0.00482   0.00468     0.0100     0.0168     0.0169     0.00486     0.00755   
 49    21     131072  0.4     52 0.0139     0.0122     0.00882   0.00881     0.00932    0.0289     0.0287     0.0115      0.0124    
 50    21     131072  0.45    60 0.0144     0.0210     0.0145    0.0144      0.0152     0.0249     0.0250     0.0136      0.0140    
 51    21     131072  0.5     53 0.0170     0.0168     0.0165    0.0162      0.0189     0.0296     0.0295     0.0142      0.0164    
 52    21     131072  0.55    61 0.0302     0.0430     0.0314    0.0276      0.0320     0.0291     0.0291     0.0277      0.0429    
 53    21     131072  0.6     58 0.104      0.0991     0.102     0.0979      0.101      0.109      0.109      0.0976      0.108     
 54    21     131072  0.65    60 0.0701     0.0621     0.0714    0.0682      0.0806     0.0809     0.0809     0.0694      0.0756    
 55    21     131072  0.7     61 0.0898     0.0901     0.0867    0.0875      0.0849     0.0929     0.0929     0.0853      0.0868    
 56    21     131072  0.75    64 0.0605     0.0636     0.0627    0.0637      0.0753     0.0713     0.0710     0.0597      0.0622    
 57    21     131072  0.8     59 0.0588     0.0624     0.0575    0.0588      0.0667     0.0587     0.0586     0.0541      0.0613    
 58    21     131072  0.85    61 0.102      0.107      0.107     0.106       0.109      0.103      0.103      0.104       0.103     
 59    21     131072  0.9     52 0.0466     0.0491     0.0461    0.0473      0.0506     0.0571     0.0567     0.0473      0.0524    
 60    21     131072  0.95    34 0.0156     0.0155     0.0154    0.0150      0.0172     0.0178     0.0180     0.0159      0.0169    
 61    31       8192  0        8 0.000295   0.00148    0.00369   0.000390    0.00352    0.00270    0.00273    0.000283    0.00350   
 62    31       8192  0.05    48 0.00328    0.0292     0.0300    0.00358     0.0361     0.0278     0.0279     0.00281     0.0250    
 63    31       8192  0.1     48 0.00584    0.0366     0.0266    0.00598     0.0478     0.0391     0.0390     0.00388     0.0559    
 64    31       8192  0.15    55 0.00779    0.0480     0.0215    0.00781     0.0662     0.0477     0.0478     0.00794     0.0585    
 65    31       8192  0.2     52 0.0103     0.0798     0.0182    0.00992     0.0695     0.0833     0.0830     0.00744     0.0944    
 66    31       8192  0.25    46 0.0117     0.146      0.0349    0.00844     0.0731     0.0787     0.0786     0.00834     0.0713    
 67    31       8192  0.3     52 0.0217     0.0695     0.0275    0.0137      0.116      0.0769     0.0771     0.0196      0.108     
 68    31       8192  0.35    52 0.0143     0.0977     0.0443    0.0165      0.0887     0.0849     0.0852     0.0136      0.104     
 69    31       8192  0.4     56 0.0210     0.0970     0.0326    0.0249      0.0784     0.108      0.107      0.0212      0.0937    
 70    31       8192  0.45    44 0.0174     0.0849     0.0389    0.0194      0.0947     0.148      0.147      0.0260      0.0972    
 71    31       8192  0.5     55 0.0230     0.120      0.0439    0.0143      0.0981     0.162      0.162      0.0174      0.104     
 72    31       8192  0.55    53 0.0233     0.111      0.0485    0.0311      0.129      0.147      0.147      0.0314      0.0915    
 73    31       8192  0.6     49 0.0971     0.143      0.119     0.0998      0.141      0.198      0.199      0.0997      0.175     
 74    31       8192  0.65    54 0.0554     0.165      0.0826    0.0508      0.124      0.148      0.148      0.0603      0.153     
 75    31       8192  0.7     57 0.0781     0.211      0.118     0.0798      0.169      0.158      0.158      0.0813      0.145     
 76    31       8192  0.75    49 0.0405     0.0561     0.0382    0.0386      0.0934     0.130      0.130      0.0387      0.0705    
 77    31       8192  0.8     45 0.0367     0.0609     0.0501    0.0367      0.0845     0.119      0.119      0.0328      0.0603    
 78    31       8192  0.85    56 0.0815     0.117      0.0752    0.0737      0.0964     0.122      0.122      0.0684      0.0910    
 79    31       8192  0.9     50 0.0410     0.0612     0.0456    0.0368      0.0490     0.0446     0.0447     0.0431      0.0560    
 80    31       8192  0.95    35 0.00941    0.0109     0.0125    0.0104      0.0121     0.0136     0.0135     0.00938     0.0118    
 81    31      32768  0        8 0.000285   0.000157   0.00105   0.0000608   0.00116    0.000293   0.000306   0.0000913   0.000182  
 82    31      32768  0.05    48 0.00147    0.00661    0.00707   0.00122     0.00607    0.00702    0.00704    0.000711    0.00434   
 83    31      32768  0.1     48 0.00226    0.0131     0.00704   0.00122     0.0118     0.00810    0.00802    0.00161     0.0116    
 84    31      32768  0.15    55 0.00351    0.0140     0.00970   0.00366     0.0115     0.0184     0.0182     0.00314     0.0163    
