#G1	G2	K	sketchsize	ANI	WJI	JI	Mash	Dash1	BD8	BD4	BD2	BD1	BDN	SS8	SS4	SS2	SS1	SSN	FSS8	FSS4	FSS2	FSS1	FSSN	MH8	MH4	MH2	MH1	MHN	FMH8	FMH4	FMH2	FMH1	FMHN	PMH8Exact	PMH8-50000000	PMH8-500000	PMH4Exact	PMH4-50000000	PMH4-500000	PMH2Exact	PMH2-50000000	PMH2-500000	PMH1Exact	PMH1-50000000	PMH1-500000	PMHNExact	PMHN-50000000	PMHN-500000	BMH8Exact	BMH8-50000000	BMH8-500000	BMH4Exact	BMH4-50000000	BMH4-500000	BMH2Exact	BMH2-50000000	BMH2-500000	BMH1Exact	BMH1-50000000	BMH1-500000	BMHNExact	BMHN-50000000	BMHN-500000
ref/bacteria/017/939/505/GCF_017939505.1_ASM1793950v1_genomic.fna.gz	ref/bacteria/000/018/265/GCF_000018265.1_ASM1826v1_genomic.fna.gz	31	512	74.5528	1.3626166e-05	8.084814e-06	0.0	0.0	-1.0	-1.0	-1.0	0.00390625	0.064453125	0.0	0.0	0.0	0.0	0.002775776	0.0	0.0	0.0	0.0	0.0034725862	0.0	0.0	0.0	0.009803922	0.0125	0.0	0.0	0.0	0.005882353	0.0	0.0	0.04296875	0.072265625	0.0	0.04296875	0.072265625	0.0	0.042954147	0.07225147	0.01372549	0.052941177	0.08235294	0.0	0.0625	0.07083333	0.0	0.048828125	0.38867188	0.0	0.048828125	0.38867188	0.0	0.04881361	0.38866255	0.007843138	0.05490196	0.39215687	0.0	0.058333334	0.4
ref/bacteria/017/939/505/GCF_017939505.1_ASM1793950v1_genomic.fna.gz	ref/bacteria/000/018/265/GCF_000018265.1_ASM1826v1_genomic.fna.gz	21	512	74.5528	5.1139006e-05	3.5696838e-05	0.0	0.0280673	-1.0	-1.0	-1.0	-1.0	0.060546875	0.0	0.0	0.0	0.005172627	0.007496009	0.0	0.0	0.0	0.0	0.0073975674	0.0	0.0	0.0	0.01372549	0.0125	0.0	0.0	0.0	0.009803922	0.0	0.0	0.052734375	0.09765625	0.0	0.052734375	0.09765625	0.0	0.05271992	0.09764248	0.011764706	0.0627451	0.10784314	0.004166667	0.058333334	0.12083333	0.0	0.044921875	0.40234375	0.0	0.044921875	0.40234375	0.0	0.0449073	0.40233463	0.011764706	0.05882353	0.40980393	0.0	0.041666668	0.4
ref/bacteria/017/939/505/GCF_017939505.1_ASM1793950v1_genomic.fna.gz	ref/bacteria/000/018/265/GCF_000018265.1_ASM1826v1_genomic.fna.gz	71	512	74.5528	0.000109079665	8.5171e-05	-1.0	0.0366345	-1.0	-1.0	-1.0	-1.0	0.064453125	0.0	0.0	0.0	0.0005927207	0.0	0.0	0.0	0.0	0.003409878	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01764706	0.0125	0.0	0.044921875	0.072265625	0.0	0.044921875	0.072265625	0.0	0.0449073	0.07225147	0.009803922	0.04901961	0.08039216	0.0	0.05	0.05	0.0	0.048828125	0.421875	0.0	0.048828125	0.421875	0.0	0.04881361	0.42186618	0.007843138	0.052941177	0.42941177	0.0	0.054166667	0.4375
ref/bacteria/017/939/505/GCF_017939505.1_ASM1793950v1_genomic.fna.gz	ref/bacteria/000/018/265/GCF_000018265.1_ASM1826v1_genomic.fna.gz	31	1024	74.5528	1.3626166e-05	8.084814e-06	0.0	0.0	-1.0	-1.0	-1.0	0.00390625	0.06933594	0.0	0.0	0.000929999	0.001674464	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010784314	0.0	0.0	0.0	0.0	0.006862745	0.0020833334	0.0	0.041992188	0.068359375	0.0	0.041992188	0.068359375	0.0	0.04197757	0.06834516	0.00882353	0.05490196	0.08039216	0.0	0.052083332	0.058333334	0.0	0.046875	0.38671875	0.0	0.046875	0.38671875	0.0	0.046860456	0.3867094	0.005882353	0.05490196	0.39411765	0.00625	0.06875	0.37291667
ref/bacteria/017/939/505/GCF_017939505.1_ASM1793950v1_genomic.fna.gz	ref/bacteria/000/018/265/GCF_000018265.1_ASM1826v1_genomic.fna.gz	21	1024	74.5528	5.1139006e-05	3.5696838e-05	0.0	0.0172296	-1.0	-1.0	-1.0	0.0029296875	0.053710938	0.0	0.0	0.00093320437	0.0073807607	0.0	0.0	0.0	0.0	0.0007655177	0.0151351765	0.0	0.0	0.0	0.00882353	0.0	0.0	0.0	0.0	0.010784314	0.01875	0.0	0.053710938	0.08691406	0.0	0.053710938	0.08691406	0.0	0.0536965	0.08690013	0.007843138	0.060784314	0.09803922	0.008333334	0.06458333	0.11875	0.0	0.046875	0.3955078	0.0	0.046875	0.3955078	0.0	0.046860456	0.39549857	0.011764706	0.060784314	0.4	0.00625	0.033333335	0.39166668
ref/bacteria/017/939/505/GCF_017939505.1_ASM1793950v1_genomic.fna.gz	ref/bacteria/000/018/265/GCF_000018265.1_ASM1826v1_genomic.fna.gz	71	1024	74.5528	0.000109079665	8.5171e-05	-1.0	0.0207281	-1.0	-1.0	-1.0	0.00390625	0.0625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0007258058	0.0	0.0	0.0	0.0	0.006862745	0.0	0.0	0.0	0.0	0.00882353	0.0	0.0	0.041015625	0.08691406	0.0	0.041015625	0.08691406	0.0	0.041000992	0.08690013	0.015686275	0.052941177	0.1	0.010416667	0.05625	0.06666667	0.0	0.051757812	0.39453125	0.0	0.051757812	0.39453125	0.0	0.051743343	0.394522	0.010784314	0.060784314	0.3970588	0.014583333	0.054166667	0.40833333
ref/bacteria/017/939/505/GCF_017939505.1_ASM1793950v1_genomic.fna.gz	ref/bacteria/000/018/265/GCF_000018265.1_ASM1826v1_genomic.fna.gz	31	2048	74.5528	1.3626166e-05	8.084814e-06	0.0	0.0	-1.0	-1.0	-1.0	0.0034179688	0.06347656	0.0	0.0	0.00043841335	0.0066795773	0.0	0.0	0.0	0.0	0.0	0.0024753436	0.0	0.0	0.0	0.012254902	0.0	0.0	0.0	0.0	0.01127451	0.0	0.0	0.04345703	0.08300781	0.0	0.04345703	0.08300781	0.0	0.043442436	0.08299382	0.006862745	0.056862745	0.09411765	0.0	0.052083332	0.071875	0.00048828125	0.048339844	0.40039062	0.00048828102	0.048339844	0.40039062	0.00047302968	0.048325323	0.40038148	0.012745098	0.05882353	0.40784314	0.0	0.058333334	0.38854167
ref/bacteria/017/939/505/GCF_017939505.1_ASM1793950v1_genomic.fna.gz	ref/bacteria/000/018/265/GCF_000018265.1_ASM1826v1_genomic.fna.gz	21	2048	74.5528	5.1139006e-05	3.5696838e-05	0.0	0.0	-1.0	-1.0	-1.0	0.0024414062	0.046875	0.0	0.0	0.0009289508	0.0	0.0	0.0	0.0	0.0	0.0017836908	0.006042536	0.0	0.0	0.0	0.013235294	0.0	0.0	0.0	0.0	0.014215686	0.00625	0.0	0.052246094	0.08496094	0.0	0.052246094	0.08496094	0.0	0.052231632	0.084946975	0.006862745	0.062254902	0.09852941	0.004166667	0.065625	0.1125	0.00048828125	0.041992188	0.3930664	0.00048828102	0.041992188	0.3930664	0.00047302968	0.04197757	0.39305714	0.012745098	0.055882353	0.3970588	0.0	0.029166667	0.38958332
ref/bacteria/017/939/505/GCF_017939505.1_ASM1793950v1_genomic.fna.gz	ref/bacteria/000/018/265/GCF_000018265.1_ASM1826v1_genomic.fna.gz	71	2048	74.5528	0.000109079665	8.5171e-05	-1.0	0.0344507	-1.0	-1.0	-1.0	0.0034179688	0.05908203	0.0	0.0	0.0009343859	0.0	0.0	0.0	0.0	0.0	0.0028067424	0.0	0.0	0.0	0.0	0.010294118	0.015625	0.0	0.0	0.0	0.014215686	0.0	0.0	0.044433594	0.087402344	0.0	0.044433594	0.087402344	0.0	0.044419013	0.08738842	0.012254902	0.055392157	0.09803922	0.0020833334	0.038541667	0.08645833	0.0	0.053222656	0.3984375	0.0	0.053222656	0.3984375	0.0	0.05320821	0.39842832	0.014215686	0.060784314	0.40539217	0.004166667	0.051041666	0.41666666
ref/bacteria/017/939/505/GCF_017939505.1_ASM1793950v1_genomic.fna.gz	ref/bacteria/000/018/265/GCF_000018265.1_ASM1826v1_genomic.fna.gz	31	4096	74.5528	1.3626166e-05	8.084814e-06	0.0	0.0136532	-1.0	-1.0	-1.0	0.0036621094	0.064453125	0.0	0.0	0.0009244873	0.003180573	0.0	0.0	0.0	0.0	0.0	0.01399639	0.0	0.0	0.0	0.014705882	0.010416667	0.0	0.0	0.0	0.009803922	0.0052083335	0.0	0.045898438	0.08081055	0.0	0.045898438	0.08081055	0.0	0.04588388	0.08079652	0.01372549	0.057107843	0.09436274	0.0	0.050520834	0.079166666	0.00024414062	0.046142578	0.40551758	0.00024414039	0.046142578	0.40551758	0.00022888533	0.046128023	0.40550852	0.015686275	0.05637255	0.4132353	0.0	0.05	0.41354167
