#LHGenome	RHGenome	k	Sketchsize	Mash	Dashing1	TrueJI	TrueWJI	SS8Bytes	SS2Bytes	SS1Byte	SSNibble	MH8Bytes	MH4Bytes	MH2Bytes	MH1Byte	MHNibble
./bacteria/GCF_000287295.1_ASM28729v1_genomic.fna.gz	./bacteria/GCF_005080825.1_ASM508082v1_genomic.fna.gz	17	256	0.0195312	0.00836265	0.010399109	0.01020693	0.015625	0.015598416	0.012636244	0.05887389	0.0	0.0	0.0	0.0	0.025
./bacteria/GCF_000287295.1_ASM28729v1_genomic.fna.gz	./bacteria/GCF_005080825.1_ASM508082v1_genomic.fna.gz	17	512	0.0117188	0.0	0.010399109	0.01020693	0.0234375	0.023409188	0.025794983	0.016225696	0.0078125	0.0078125	0.0077973604	0.003921569	0.0125
./bacteria/GCF_000287295.1_ASM28729v1_genomic.fna.gz	./bacteria/GCF_005080825.1_ASM508082v1_genomic.fna.gz	17	1024	0.0136719	0.012132	0.010399109	0.01020693	0.015625	0.015595496	0.0216043	0.014595985	0.009765625	0.009765625	0.009750515	0.012745098	0.11145833
./bacteria/GCF_000287295.1_ASM28729v1_genomic.fna.gz	./bacteria/GCF_005080825.1_ASM508082v1_genomic.fna.gz	17	2048	0.0141602	0.0197732	0.010399109	0.01020693	0.016601562	0.016569614	0.017627895	0.030492663	0.009277344	0.009277344	0.0092622265	0.025980392	0.0072916667
./bacteria/GCF_000287295.1_ASM28729v1_genomic.fna.gz	./bacteria/GCF_005080825.1_ASM508082v1_genomic.fna.gz	17	4096	0.0166016	0.0142179	0.010399109	0.01020693	0.0126953125	0.012661517	0.014451861	0.009286284	0.011230469	0.011230469	0.011215381	0.018382354	0.0421875
./bacteria/GCF_000287295.1_ASM28729v1_genomic.fna.gz	./bacteria/GCF_005080825.1_ASM508082v1_genomic.fna.gz	17	8192	0.0155029	0.0221889	0.010399109	0.01020693	0.011962891	0.01192677	0.012652993	0.016371906	0.0126953125	0.0126953125	0.012680247	0.028431373	0.034895834
./bacteria/GCF_000287295.1_ASM28729v1_genomic.fna.gz	./bacteria/GCF_014251775.1_ASM1425177v1_genomic.fna.gz	17	256	0.0117188	0.044664	0.008339577	0.008174994	0.0078125	0.0077862144	0.028269172	0.02488774	0.0078125	0.0078125	0.0077973604	0.003921569	0.11666667
./bacteria/GCF_000287295.1_ASM28729v1_genomic.fna.gz	./bacteria/GCF_014251775.1_ASM1425177v1_genomic.fna.gz	17	512	0.0078125	0.0536244	0.008339577	0.008174994	0.009765625	0.009737611	0.014265835	0.007033348	0.00390625	0.0039062498	0.0038910506	0.0	0.0
./bacteria/GCF_000287295.1_ASM28729v1_genomic.fna.gz	./bacteria/GCF_014251775.1_ASM1425177v1_genomic.fna.gz	17	1024	0.00976562	0.02173	0.008339577	0.008174994	0.0087890625	0.008761108	0.010353327	0.00016331673	0.0048828125	0.0048828125	0.004867628	0.0019607844	0.054166667
./bacteria/GCF_000287295.1_ASM28729v1_genomic.fna.gz	./bacteria/GCF_014251775.1_ASM1425177v1_genomic.fna.gz	17	2048	0.0131836	0.0135549	0.008339577	0.008174994	0.0087890625	0.008758068	0.008091211	0.008490145	0.0078125	0.0078125	0.0077973604	0.007843138	0.010416667
./bacteria/GCF_000287295.1_ASM28729v1_genomic.fna.gz	./bacteria/GCF_014251775.1_ASM1425177v1_genomic.fna.gz	17	4096	0.012207	0.014103	0.008339577	0.008174994	0.009521484	0.009488583	0.009102523	0.02009207	0.007080078	0.007080078	0.0070649274	0.014215686	0.020833334
./bacteria/GCF_000287295.1_ASM28729v1_genomic.fna.gz	./bacteria/GCF_014251775.1_ASM1425177v1_genomic.fna.gz	17	8192	0.0117188	0.0185786	0.008339577	0.008174994	0.010131836	0.01009655	0.010316789	0.001074791	0.008056641	0.008056641	0.008163577	0.011642157	0.04075521
./bacteria/GCF_000287295.1_ASM28729v1_genomic.fna.gz	./bacteria/GCF_014252315.1_ASM1425231v1_genomic.fna.gz	17	256	0.0117188	0.00426807	0.009780758	0.009532434	0.0078125	0.007784307	0.016238451	0.05022943	0.015625	0.015625	0.01560998	0.015686275	0.0
./bacteria/GCF_000287295.1_ASM28729v1_genomic.fna.gz	./bacteria/GCF_014252315.1_ASM1425231v1_genomic.fna.gz	17	512	0.0136719	0.00399709	0.009780758	0.009532434	0.009765625	0.009737551	0.008413196	0.022083998	0.009765625	0.009765625	0.009750515	0.01372549	0.008333334
./bacteria/GCF_000287295.1_ASM28729v1_genomic.fna.gz	./bacteria/GCF_014252315.1_ASM1425231v1_genomic.fna.gz	17	1024	0.00683594	0.0	0.009780758	0.009532434	0.01171875	0.011689603	0.008079052	0.026761413	0.0068359375	0.0068359375	0.006820783	0.007843138	0.0375
./bacteria/GCF_000287295.1_ASM28729v1_genomic.fna.gz	./bacteria/GCF_014252315.1_ASM1425231v1_genomic.fna.gz	17	2048	0.0112305	0.00282954	0.009780758	0.009532434	0.010253906	0.010709763	0.005796373	0.004844308	0.0073242188	0.0073242188	0.0073090717	0.006372549	0.0
./bacteria/GCF_000287295.1_ASM28729v1_genomic.fna.gz	./bacteria/GCF_014252315.1_ASM1425231v1_genomic.fna.gz	17	4096	0.0134277	0.00315755	0.009780758	0.009532434	0.009765625	0.00973171	0.008586168	0.006965995	0.010009766	0.010009766	0.00999466	0.010294118	0.06015625
./bacteria/GCF_000287295.1_ASM28729v1_genomic.fna.gz	./bacteria/GCF_014252315.1_ASM1425231v1_genomic.fna.gz	17	8192	0.0150146	0.0134065	0.009780758	0.009532434	0.009155273	0.009119868	0.008196592	0.005497575	0.008056641	0.008056641	0.008041505	0.017034315	0.029557291
./bacteria/GCF_000287295.1_ASM28729v1_genomic.fna.gz	./bacteria/GCF_014252455.1_ASM1425245v1_genomic.fna.gz	17	256	0.0234375	0.0	0.0109509695	0.01067835	0.015625	0.015599847	0.0247643	0.017919779	0.015625	0.015625	0.01560998	0.015686275	0.0
./bacteria/GCF_000287295.1_ASM28729v1_genomic.fna.gz	./bacteria/GCF_014252455.1_ASM1425245v1_genomic.fna.gz	17	512	0.015625	0.0	0.0109509695	0.01067835	0.015625	0.015598655	0.016641855	0.032345533	0.013671875	0.013671875	0.013656825	0.01372549	0.016666668
./bacteria/GCF_000287295.1_ASM28729v1_genomic.fna.gz	./bacteria/GCF_014252455.1_ASM1425245v1_genomic.fna.gz	17	1024	0.0126953	0.00280533	0.0109509695	0.01067835	0.0078125	0.0077832937	0.005142331	0.0	0.01171875	0.01171875	0.01170367	0.009803922	0.0
./bacteria/GCF_000287295.1_ASM28729v1_genomic.fna.gz	./bacteria/GCF_014252455.1_ASM1425245v1_genomic.fna.gz	17	2048	0.0107422	0.0170551	0.0109509695	0.01067835	0.005859375	0.005826354	0.0041484833	0.0	0.009277344	0.009277344	0.0092622265	0.009803922	0.028125
./bacteria/GCF_000287295.1_ASM28729v1_genomic.fna.gz	./bacteria/GCF_014252455.1_ASM1425245v1_genomic.fna.gz	17	4096	0.0151367	0.0232872	0.0109509695	0.01067835	0.009277344	0.00924325	0.0070511103	0.0071930885	0.009033203	0.009033203	0.009018082	0.017401962	0.060416665
./bacteria/GCF_000287295.1_ASM28729v1_genomic.fna.gz	./bacteria/GCF_014252455.1_ASM1425245v1_genomic.fna.gz	17	8192	0.0158691	0.023142	0.0109509695	0.01067835	0.0107421875	0.010706186	0.008764327	0.0	0.009033203	0.009033203	0.009018082	0.024632353	0.07174479
./bacteria/GCF_000287295.1_ASM28729v1_genomic.fna.gz	./bacteria/GCF_002073895.1_ASM207389v1_genomic.fna.gz	17	256	0.00390625	0.0	0.0013342788	0.0013112753	0.0078125	0.007784188	0.00051009655	0.0	0.0	0.0	0.0	0.0	0.016666668
./bacteria/GCF_000287295.1_ASM28729v1_genomic.fna.gz	./bacteria/GCF_002073895.1_ASM207389v1_genomic.fna.gz	17	512	0.00390625	0.0	0.0013342788	0.0013112753	0.00390625	0.0038784742	0.0064109564	0.0	0.001953125	0.0019531248	0.0019378958	0.0	0.0
./bacteria/GCF_000287295.1_ASM28729v1_genomic.fna.gz	./bacteria/GCF_002073895.1_ASM207389v1_genomic.fna.gz	17	1024	0.00195312	0.0	0.0013342788	0.0013112753	0.001953125	0.0019232631	0.0069167614	0.014279485	0.0009765625	0.00097656227	0.0009613184	0.0029411765	0.021875
./bacteria/GCF_000287295.1_ASM28729v1_genomic.fna.gz	./bacteria/GCF_002073895.1_ASM207389v1_genomic.fna.gz	17	2048	0.00195312	0.0	0.0013342788	0.0013112753	0.0009765625	0.00094372034	0.0027344823	0.008191347	0.001953125	0.0019531248	0.0019378958	0.0034313726	0.013020833
./bacteria/GCF_000287295.1_ASM28729v1_genomic.fna.gz	./bacteria/GCF_002073895.1_ASM207389v1_genomic.fna.gz	17	4096	0.00244141	0.0	0.0013342788	0.0013112753	0.0012207031	0.0011883378	0.0008894205	0.00042533875	0.0014648438	0.0014648435	0.0014496071	0.0024509805	0.051822916
./bacteria/GCF_000287295.1_ASM28729v1_genomic.fna.gz	./bacteria/GCF_002073895.1_ASM207389v1_genomic.fna.gz	17	8192	0.00292969	0.00466124	0.0013342788	0.0013112753	0.0010986328	0.0010632873	0.0	0.0030972958	0.0013427734	0.0013427732	0.0013275349	0.006372549	0.048697915
./bacteria/GCF_000287295.1_ASM28729v1_genomic.fna.gz	./bacteria/GCF_000233435.1_ASM23343v1_genomic.fna.gz	17	256	0.00390625	0.0470728	0.0033534348	0.0033127645	0.00390625	0.0038800836	0.0010309815	0.01715517	0.0	0.0	0.0	0.0	0.0
./bacteria/GCF_000287295.1_ASM28729v1_genomic.fna.gz	./bacteria/GCF_000233435.1_ASM23343v1_genomic.fna.gz	17	512	0.00195312	0.0	0.0033534348	0.0033127645	0.001953125	0.001926899	0.0	0.0129416585	0.0	0.0	0.0	0.0	0.0
./bacteria/GCF_000287295.1_ASM28729v1_genomic.fna.gz	./bacteria/GCF_000233435.1_ASM23343v1_genomic.fna.gz	17	1024	0.000976562	0.0	0.0033534348	0.0033127645	0.00390625	0.003878057	0.0034571886	0.013233602	0.001953125	0.0019531248	0.0019378958	0.0019607844	0.0
./bacteria/GCF_000287295.1_ASM28729v1_genomic.fna.gz	./bacteria/GCF_000233435.1_ASM23343v1_genomic.fna.gz	17	2048	0.00244141	0.0	0.0033534348	0.0033127645	0.0043945312	0.0043627024	0.0064113736	0.01280272	0.0024414062	0.002441406	0.0024261845	0.020588236	0.025
./bacteria/GCF_000287295.1_ASM28729v1_genomic.fna.gz	./bacteria/GCF_000233435.1_ASM23343v1_genomic.fna.gz	17	4096	0.00488281	0.00532483	0.0033534348	0.0033127645	0.0024414062	0.0024089813	0.0021349788	0.0	0.0031738281	0.003173828	0.0031586175	0.01004902	0.03828125
./bacteria/GCF_000287295.1_ASM28729v1_genomic.fna.gz	./bacteria/GCF_000233435.1_ASM23343v1_genomic.fna.gz	17	8192	0.00598145	0.00604876	0.0033534348	0.0033127645	0.0028076172	0.00277251	0.003023386	0.0016605258	0.0030517578	0.0030517576	0.0030365454	0.007352941	0.047526043
./bacteria/GCF_000287295.1_ASM28729v1_genomic.fna.gz	./bacteria/GCF_000817295.2_ASM81729v2_genomic.fna.gz	17	256	0.00390625	0.0	0.0014969704	0.0014560057	0.00390625	0.003881693	0.0014375448	0.01389581	0.0078125	0.0078125	0.0077973604	0.007843138	0.0
./bacteria/GCF_000287295.1_ASM28729v1_genomic.fna.gz	./bacteria/GCF_000817295.2_ASM81729v2_genomic.fna.gz	17	512	0.00390625	0.0	0.0014969704	0.0014560057	0.001953125	0.001926899	0.0029577017	0.0022075176	0.00390625	0.0039062498	0.0038910506	0.007843138	0.0
./bacteria/GCF_000287295.1_ASM28729v1_genomic.fna.gz	./bacteria/GCF_000817295.2_ASM81729v2_genomic.fna.gz	17	1024	0.00195312	0.0	0.0014969704	0.0014560057	0.0009765625	0.0009469986	0.0031625032	0.0	0.001953125	0.0019531248	0.0019378958	0.0	0.05625
./bacteria/GCF_000287295.1_ASM28729v1_genomic.fna.gz	./bacteria/GCF_000817295.2_ASM81729v2_genomic.fna.gz	17	2048	0.00146484	0.0	0.0014969704	0.0014560057	0.0009765625	0.0009447336	0.0025553703	0.0025146604	0.0029296875	0.0029296873	0.0029144732	0.019117648	0.050520834
./bacteria/GCF_000287295.1_ASM28729v1_genomic.fna.gz	./bacteria/GCF_000817295.2_ASM81729v2_genomic.fna.gz	17	4096	0.00244141	0.0	0.0014969704	0.0014560057	0.00048828125	0.00045591593	0.0	0.0	0.0017089844	0.0017089841	0.0016937514	0.009068628	0.057291668
./bacteria/GCF_000287295.1_ASM28729v1_genomic.fna.gz	./bacteria/GCF_000817295.2_ASM81729v2_genomic.fna.gz	17	8192	0.00292969	0.00310987	0.0014969704	0.0014560057	0.0014648438	0.0014301538	0.0	0.0003373623	0.0013427734	0.0013427732	0.0013275349	0.005269608	0.052864585
./bacteria/GCF_000287295.1_ASM28729v1_genomic.fna.gz	./bacteria/GCF_003226735.1_ASM322673v1_genomic.fna.gz	17	256	0.015625	0.0	0.0075792116	0.007448009	0.01171875	0.011694849	0.017325103	0.0039173365	0.0078125	0.0078125	0.0077973604	0.007843138	0.14583333
./bacteria/GCF_000287295.1_ASM28729v1_genomic.fna.gz	./bacteria/GCF_003226735.1_ASM322673v1_genomic.fna.gz	17	512	0.0078125	0.0	0.0075792116	0.007448009	0.0078125	0.007788658	0.01338011	0.017026007	0.005859375	0.005859375	0.0058442056	0.005882353	0.0125
./bacteria/GCF_000287295.1_ASM28729v1_genomic.fna.gz	./bacteria/GCF_003226735.1_ASM322673v1_genomic.fna.gz	17	1024	0.00585938	0.0	0.0075792116	0.007448009	0.0068359375	0.0068098307	0.00208354	0.0026667714	0.0107421875	0.0107421875	0.010727093	0.010784314	0.094791666
