#G1	G2	K	sketchsize	ANI	WJI	JI	Mash	Dash1	BD8	BD4	BD2	BD1	BDN	SS8	SS4	SS2	SS1	SSN	FSS8	FSS4	FSS2	FSS1	FSSN	MH8	MH4	MH2	MH1	MHN	FMH8	FMH4	FMH2	FMH1	FMHN	PMH8Exact	PMH8-50000000	PMH8-500000	PMH4Exact	PMH4-50000000	PMH4-500000	PMH2Exact	PMH2-50000000	PMH2-500000	PMH1Exact	PMH1-50000000	PMH1-500000	PMHNExact	PMHN-50000000	PMHN-500000	BMH8Exact	BMH8-50000000	BMH8-500000	BMH4Exact	BMH4-50000000	BMH4-500000	BMH2Exact	BMH2-50000000	BMH2-500000	BMH1Exact	BMH1-50000000	BMH1-500000	BMHNExact	BMHN-50000000	BMHN-500000
ref/bacteria/017/939/505/GCF_017939505.1_ASM1793950v1_genomic.fna.gz	ref/bacteria/005/044/925/GCF_005044925.1_ASM504492v1_genomic.fna.gz	21	1024	95.7857	0.2809283	0.2794726	0.30566406	0.279864	0.28515625	0.28515625	0.28515625	0.2890625	0.33398438	0.28515625	0.28515625	0.2851156	0.2864451	0.27847773	0.28710938	0.28710938	0.2870727	0.28549862	0.27226758	0.28515625	0.28515625	0.28514534	0.29313725	0.28333333	0.28710938	0.28710938	0.2870985	0.29215688	0.27291667	0.27441406	0.26953125	0.119140625	0.27441406	0.26953125	0.119140625	0.27440298	0.2695201	0.119127184	0.28333333	0.2764706	0.12941177	0.26458332	0.28125	0.1125	0.31152344	0.29296875	0.4140625	0.31152344	0.29296875	0.4140625	0.31151292	0.29295796	0.41405356	0.31960785	0.30392158	0.41960785	0.3125	0.29375	0.38541666
ref/bacteria/017/939/505/GCF_017939505.1_ASM1793950v1_genomic.fna.gz	ref/bacteria/005/044/925/GCF_005044925.1_ASM504492v1_genomic.fna.gz	31	1024	95.7857	0.20976697	0.20912838	0.21679688	0.210066	0.21386719	0.21386719	0.21386719	0.21484375	0.2626953	0.20605469	0.20605469	0.2060195	0.20089905	0.20198467	0.18847656	0.18847656	0.18844238	0.18945901	0.18060729	0.20605469	0.20605469	0.20604257	0.21176471	0.21041666	0.18847656	0.18847656	0.18846418	0.2	0.20416667	0.20507812	0.22363281	0.09375	0.20507812	0.22363281	0.09375	0.205066	0.22459754	0.09471275	0.20980392	0.23921569	0.10294118	0.23333333	0.20416667	0.1	0.19042969	0.24121094	0.41015625	0.19042969	0.24121094	0.41015625	0.19041733	0.24119936	0.41014725	0.19901961	0.25196078	0.4137255	0.17291667	0.2125	0.4
ref/bacteria/017/939/505/GCF_017939505.1_ASM1793950v1_genomic.fna.gz	ref/bacteria/005/044/925/GCF_005044925.1_ASM504492v1_genomic.fna.gz	71	1024	95.7857	0.00011805853	9.048378e-05	-1.0	0.0421116	0.09863281	0.09863281	0.09863281	0.1015625	0.15429688	0.0234375	0.0234375	0.023399394	0.022411162	0.0045558834	0.021484375	0.021484375	0.02144909	0.022160362	0.01863596	0.0234375	0.0234375	0.023422599	0.03137255	0.045833334	0.021484375	0.021484375	0.021469444	0.03137255	0.020833334	0.024414062	0.049804688	0.06738281	0.024414062	0.049804688	0.06738281	0.024399176	0.04979019	0.06736858	0.03529412	0.052941177	0.0754902	0.01875	0.052083332	0.079166666	0.022460938	0.059570312	0.3876953	0.022460938	0.059570312	0.3876953	0.022446021	0.059555963	0.38768595	0.03137255	0.06764706	0.39019608	0.014583333	0.05625	0.39583334
ref/bacteria/017/939/505/GCF_017939505.1_ASM1793950v1_genomic.fna.gz	ref/bacteria/005/044/925/GCF_005044925.1_ASM504492v1_genomic.fna.gz	21	131072	95.7857	0.2809283	0.2794726	0.28631592	0.287017	0.28367615	0.28367615	0.28368378	0.28638458	0.3287735	0.28183746	0.28193665	0.28202814	0.28261128	0.27951154	0.28133392	0.28133392	0.28135577	0.28137946	0.28257146	0.28183746	0.28183746	0.28183413	0.289928	0.28273112	0.28133392	0.28133392	0.28132296	0.28956035	0.28068033	0.27898407	0.2778778	0.10874176	0.27898407	0.2778778	0.10874176	0.27897307	0.27788967	0.10874342	0.28715533	0.28670344	0.11901808	0.2777995	0.27783203	0.104882814	0.28111267	0.2948761	0.44296265	0.28111267	0.2948761	0.44296265	0.28110933	0.2948806	0.44297704	0.28918505	0.30300245	0.44990042	0.2811686	0.29698893	0.44488934
ref/bacteria/017/939/505/GCF_017939505.1_ASM1793950v1_genomic.fna.gz	ref/bacteria/005/044/925/GCF_005044925.1_ASM504492v1_genomic.fna.gz	31	131072	95.7857	0.20976697	0.20912838	0.2111435	0.213642	0.21257019	0.21257019	0.21257019	0.21582031	0.2610321	0.20954895	0.20968628	0.2097609	0.20933619	0.2073909	0.21196747	0.21196747	0.21200578	0.21199974	0.21334186	0.20954895	0.20954895	0.20955215	0.21900275	0.2100586	0.21196747	0.21196747	0.21197833	0.22100183	0.21123047	0.20819855	0.21777344	0.10429382	0.20819855	0.21777344	0.10429382	0.20818646	0.21777676	0.104318306	0.21786918	0.22727482	0.11480545	0.20763347	0.21567383	0.10161133	0.20954895	0.23026276	0.43011475	0.20954895	0.23026276	0.43011475	0.2095369	0.23026627	0.43011367	0.2193168	0.23888634	0.43655026	0.20911458	0.23208007	0.43167317
ref/bacteria/017/939/505/GCF_017939505.1_ASM1793950v1_genomic.fna.gz	ref/bacteria/005/044/925/GCF_005044925.1_ASM504492v1_genomic.fna.gz	71	131072	95.7857	0.00011805853	9.048378e-05	-1.0	0.0195143	0.09059906	0.09059906	0.09062195	0.09429169	0.14804077	0.016845703	0.016921997	0.017098824	0.016539875	0.01290478	0.016807556	0.016807556	0.016781371	0.017011022	0.015171709	0.016845703	0.016845703	0.01683833	0.02834712	0.01624349	0.016807556	0.016807556	0.016792554	0.028209252	0.015852865	0.016983032	0.061065674	0.0990448	0.016983032	0.061065674	0.0990448	0.016975662	0.061051346	0.09904631	0.028262869	0.07242647	0.108869486	0.017024739	0.060677085	0.0949056	0.017150879	0.063713074	0.40623474	0.017150879	0.063713074	0.40623474	0.017151142	0.06372168	0.4062333	0.028147979	0.07480086	0.4130821	0.017903646	0.06386719	0.4072591
ref/bacteria/017/939/505/GCF_017939505.1_ASM1793950v1_genomic.fna.gz	ref/bacteria/005/044/925/GCF_005044925.1_ASM504492v1_genomic.fna.gz	21	16384	95.7857	0.2809283	0.2794726	0.2843628	0.288857	0.28063965	0.28063965	0.28063965	0.28308105	0.32659912	0.28729248	0.28729248	0.28754643	0.2880227	0.29075623	0.27996826	0.27996826	0.27998123	0.28064936	0.28244078	0.28729248	0.28729248	0.2872816	0.2958946	0.2920573	0.27996826	0.27996826	0.27995726	0.28841913	0.2826823	0.2816162	0.27667236	0.10168457	0.2816162	0.27667236	0.10168457	0.28160524	0.27666134	0.1017319	0.29050246	0.28523284	0.111887254	0.28216144	0.27395833	0.103515625	0.28204346	0.2972412	0.4406128	0.28204346	0.2972412	0.4406128	0.2820325	0.29723048	0.44060427	0.29080883	0.30631128	0.44791666	0.27708334	0.30416667	0.44335938
ref/bacteria/017/939/505/GCF_017939505.1_ASM1793950v1_genomic.fna.gz	ref/bacteria/005/044/925/GCF_005044925.1_ASM504492v1_genomic.fna.gz	31	16384	95.7857	0.20976697	0.20912838	0.21228027	0.214038	0.20727539	0.20727539	0.20727539	0.21087646	0.25701904	0.20489502	0.20489502	0.20503105	0.20532073	0.20233639	0.21063232	0.21063232	0.21058749	0.21065353	0.2172654	0.20489502	0.20489502	0.20500496	0.21231617	0.21432291	0.21063232	0.21063232	0.21062028	0.21905637	0.21354167	0.2131958	0.21838379	0.08770752	0.2131958	0.21838379	0.08770752	0.21318379	0.21837187	0.08775464	0.22181372	0.22708334	0.09852941	0.21223958	0.2110677	0.084244795	0.2084961	0.2322998	0.42938232	0.2084961	0.2322998	0.42938232	0.20848401	0.23228809	0.42937362	0.21783088	0.24099265	0.43517157	0.20572917	0.23320313	0.43177083
ref/bacteria/017/939/505/GCF_017939505.1_ASM1793950v1_genomic.fna.gz	ref/bacteria/005/044/925/GCF_005044925.1_ASM504492v1_genomic.fna.gz	71	16384	95.7857	0.00011805853	9.048378e-05	-1.0	0.0188813	0.090026855	0.090026855	0.09008789	0.09362793	0.14733887	0.016540527	0.016540527	0.016978549	0.017143289	0.01408737	0.017822266	0.017822266	0.017836249	0.0163817	0.016101629	0.016540527	0.016540527	0.01652552	0.026838236	0.016015625	0.017822266	0.017822266	0.017807279	0.030147059	0.013541667	0.016296387	0.063964844	0.08605957	0.016296387	0.063964844	0.08605957	0.016281376	0.064011596	0.08604562	0.027022058	0.075980395	0.09546569	0.016927084	0.06575521	0.08138021	0.017089844	0.061645508	0.40881348	0.017089844	0.061645508	0.40881348	0.017074846	0.061631188	0.40880445	0.027512254	0.07377451	0.4151961	0.014453125	0.057942707	0.41341147
ref/bacteria/017/939/505/GCF_017939505.1_ASM1793950v1_genomic.fna.gz	ref/bacteria/005/044/925/GCF_005044925.1_ASM504492v1_genomic.fna.gz	21	2048	95.7857	0.2809283	0.2794726	0.30517578	0.265529	0.28125	0.28125	0.28125	0.28320312	0.32666016	0.28222656	0.28222656	0.28218257	0.2802016	0.26237142	0.2890625	0.2890625	0.28902408	0.2948679	0.2904668	0.28222656	0.28222656	0.2822156	0.29068628	0.29270834	0.2890625	0.2890625	0.28905165	0.30294117	0.28333333	0.27783203	0.2783203	0.106933594	0.27783203	0.2783203	0.106933594	0.277821	0.2783093	0.10691997	0.2877451	0.28529412	0.11960784	0.26666668	0.27395833	0.10208333	0.30566406	0.3022461	0.4272461	0.30566406	0.3022461	0.4272461	0.30565345	0.30223545	0.42723736	0.31470588	0.3112745	0.43333334	0.290625	0.30416667	0.42395833
