#G1	G2	K	sketchsize	ANI	WJI	JI	Mash	Dash1	BD8	BD4	BD2	BD1	SS8	SS4	SS2	SS1	FSS8	FSS4	FSS2	FSS1	PMH8Exact	PMH8-50000000	PMH8-500000	PMH4Exact	PMH4-50000000	PMH4-500000	PMH2Exact	PMH2-50000000	PMH2-500000	PMH1Exact	PMH1-50000000	PMH1-500000
../fasta/ref/bacteria/69/69/GCF_022569695.1_ASM2256969v1_genomic.fna.gz	../fasta/ref/bacteria/69/69/GCF_002769695.1_ASM276969v1_genomic.fna.gz	21	32768	74.901	4.9634004e-05	4.911014e-05	0.0	0.0069702	-1.0	-1.0	-1.0	0.0048828125	0.0	0.0	0.0	7.532496e-05	0.0	0.0	0.0	0.0	0.0	0.02734375	0.1015625	0.0	0.0234375	0.099609375	0.0	0.02684062	0.085435264	0.013480392	0.03529412	0.09338235
../fasta/ref/bacteria/69/69/GCF_900169695.1_15.TR.020_20OXA_OXA-48_KPC_genomic.fna.gz	../fasta/ref/bacteria/69/69/GCF_000669695.1_Myco_tube_OFXR-28_V1_genomic.fna.gz	21	32768	75.2994	4.289613e-05	4.2795193e-05	0.0	0.0	-1.0	-1.0	-1.0	0.004638672	0.0	0.00097656186	0.00044388382	0.0019766535	0.0	0.0	0.0	0.0	0.0	0.048828125	0.1015625	0.0	0.04296875	0.10253906	0.0	0.044419013	0.08690013	0.017401962	0.054166667	0.109068625
../fasta/ref/bacteria/69/69/GCF_015669695.1_ASM1566969v1_genomic.fna.gz	../fasta/ref/bacteria/69/69/GCF_022369695.1_ASM2236969v1_genomic.fna.gz	21	32768	88.0654	0.00014969123	0.00012417478	0.0	0.00385973	-1.0	-1.0	-1.0	0.0026855469	0.0	0.0	0.0004504946	0.0	0.001953125	0.00097656186	0.00044241434	0.0	0.0	0.015625	0.12890625	0.0	0.022460938	0.123046875	0.00047302968	0.021469444	0.12108034	0.013480392	0.033578433	0.13235295
../fasta/ref/bacteria/69/69/GCF_014169695.1_ASM1416969v1_genomic.fna.gz	../fasta/ref/bacteria/69/69/GCF_000569695.1_Stap_aure_M91155_V1_genomic.fna.gz	21	32768	78.861	0.00013362021	4.4536104e-05	0.0	0.0	-1.0	-1.0	-1.0	0.0041503906	0.0	0.0	0.0	0.0023705151	0.0	0.0	0.0	7.748642e-05	0.0	0.029296875	0.091796875	0.0	0.02734375	0.080078125	0.0	0.032700084	0.08787671	0.008088236	0.04387255	0.09730392
../fasta/ref/bacteria/69/34/GCF_003634695.1_ASM363469v1_genomic.fna.gz	../fasta/ref/bacteria/69/34/GCF_006234695.1_ASM623469v1_genomic.fna.gz	21	32768	74.4629	3.6904185e-05	3.6904185e-05	0.0	0.0174135	-1.0	-1.0	-1.0	0.0056152344	0.0	0.0	0.00044132382	0.0016173243	0.0	0.0	0.0	0.0	0.0	0.060546875	0.0859375	0.0	0.049804688	0.08984375	0.0	0.04539559	0.084946975	0.011519608	0.059068628	0.09313726
../fasta/ref/bacteria/69/34/GCF_002934695.1_ASM293469v1_genomic.fna.gz	../fasta/ref/bacteria/69/34/GCF_001334695.1_6593_5_12_genomic.fna.gz	21	32768	77.7434	7.5390286e-05	7.469699e-05	0.0	0.0	-1.0	-1.0	-1.0	0.0031738281	0.0	0.0	0.0	0.0013480728	0.0	0.0	0.0	0.0034481096	0.0	0.0234375	0.080078125	0.0	0.0234375	0.08105469	0.00047302968	0.023422599	0.077134356	0.011519608	0.033088237	0.09166667
../fasta/ref/bacteria/69/34/GCF_014334695.1_ASM1433469v1_genomic.fna.gz	../fasta/ref/bacteria/69/34/GCF_021134695.1_ASM2113469v1_genomic.fna.gz	21	32768	76.5406	0.000345355	0.00019931847	0.0	0.0059894	-1.0	-1.0	-1.0	0.0031738281	0.0	0.0	0.0	0.0012409904	0.001953125	0.0009765618	0.00044017698	0.0	0.0	0.017578125	0.12109375	0.0	0.021484375	0.109375	0.0	0.018051423	0.1098497	0.009313726	0.030882353	0.121323526
../fasta/ref/bacteria/69/34/GCF_001034695.1_ASM103469v1_genomic.fna.gz	../fasta/ref/bacteria/69/34/GCF_019134695.1_ASM1913469v1_genomic.fna.gz	21	32768	76.127	0.0006688704	0.0006474858	0.0	0.0184175	-1.0	-1.0	-1.0	0.005859375	0.0	0.0	0.0	0.0017946901	0.001953125	0.0019531243	0.0014121108	0.0	0.0	0.046875	0.068359375	0.0	0.048828125	0.07421875	0.00047302968	0.052231632	0.07811093	0.011519608	0.059068628	0.09264706
../fasta/ref/bacteria/69/34/GCF_900034695.1_12754_5_84_genomic.fna.gz	../fasta/ref/bacteria/69/34/GCF_000534695.1_Ente_cloa_complex_MGH_6_V2_genomic.fna.gz	21	32768	76.6845	4.9748243e-05	4.445832e-05	0.0	0.0	-1.0	-1.0	-1.0	0.0036621094	0.0	0.0	0.0009299658	0.0	0.0	0.0	0.0	0.0037496872	0.0	0.033203125	0.083984375	0.0	0.0390625	0.08300781	0.0	0.040024415	0.08348211	0.011519608	0.052941177	0.103431374
../fasta/ref/bacteria/69/34/GCF_012934695.1_ASM1293469v1_genomic.fna.gz	../fasta/ref/bacteria/69/37/GCF_900637695.1_52451_C01_genomic.fna.gz	21	32768	75.6729	5.2623378e-05	3.338873e-05	0.0	0.0	-1.0	-1.0	-1.0	0.0026855469	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0009198491	0.0	0.04296875	0.08984375	0.0	0.03515625	0.10058594	0.0	0.03855955	0.09568933	0.012990196	0.051715687	0.0992647
../fasta/ref/bacteria/69/02/GCF_009902695.1_ASM990269v1_genomic.fna.gz	../fasta/ref/bacteria/69/02/GCF_003302695.1_ASM330269v1_genomic.fna.gz	21	32768	82.3998	0.021515122	0.020909613	0.01171875	0.0406601	0.017578125	0.018554688	0.017089844	0.020019531	0.015625	0.020507812	0.018993808	0.019356374	0.03515625	0.02734375	0.024371726	0.023863055	0.017578125	0.05859375	0.091796875	0.018554688	0.059570312	0.080078125	0.021957733	0.059067674	0.08787671	0.035539217	0.07279412	0.09754902
../fasta/ref/bacteria/69/02/GCF_004102695.1_ASM410269v1_genomic.fna.gz	../fasta/ref/bacteria/02/21/GCF_900221025.1_IMG-taxon_2671180026_annotated_assembly_genomic.fna.gz	21	32768	85.3477	0.038472913	0.038216684	0.0234375	0.0272102	0.029296875	0.029296875	0.028808594	0.040527344	0.03125	0.036132812	0.03608774	0.035360925	0.029296875	0.038085938	0.04146291	0.041717984	0.044921875	0.076171875	0.09765625	0.036132812	0.07324219	0.10449219	0.031723507	0.06932174	0.10301366	0.044362746	0.08259804	0.11617647
../fasta/ref/bacteria/69/02/GCF_014202695.1_ASM1420269v1_genomic.fna.gz	../fasta/ref/bacteria/05/38/GCF_000238055.2_Oribacterium_sp_ACB1_V2_genomic.fna.gz	21	32768	81.8493	0.01875441	0.01812858	0.025390625	0.0183342	0.015625	0.01953125	0.016601562	0.018310547	0.01953125	0.022460938	0.018514339	0.01769162	0.01953125	0.01953125	0.0185193	0.019042617	0.01953125	0.037109375	0.140625	0.016601562	0.034179688	0.125	0.020492867	0.03367666	0.11815061	0.029411765	0.04779412	0.13161765
../fasta/ref/bacteria/69/02/GCF_003602695.1_ASM360269v1_genomic.fna.gz	../fasta/ref/bacteria/69/60/GCF_015560695.1_ASM1556069v1_genomic.fna.gz	21	32768	80.8999	0.014592925	0.014414992	0.01953125	0.0203005	0.021484375	0.016601562	0.016113281	0.018310547	0.013671875	0.011718749	0.01314582	0.009507222	0.021484375	0.018554688	0.015579678	0.0148343425	0.009765625	0.05078125	0.08203125	0.013671875	0.056640625	0.0859375	0.010727093	0.058579385	0.08690013	0.022794118	0.06495098	0.09558824
../fasta/ref/bacteria/69/02/GCF_023702695.1_ASM2370269v1_genomic.fna.gz	../fasta/ref/bacteria/69/09/GCF_022809695.1_ASM2280969v1_genomic.fna.gz	21	32768	82.8878	0.023207676	0.019663082	0.0078125	0.0208909	0.03515625	0.030273438	0.027832031	0.025634766	0.025390625	0.0234375	0.022902856	0.024077019	0.021484375	0.025390625	0.020467164	0.018509204	0.021484375	0.037109375	0.099609375	0.015625	0.047851562	0.10253906	0.017074846	0.046372168	0.10447852	0.031862747	0.06348039	0.1125
../fasta/ref/bacteria/69/80/GCF_003480695.1_ASM348069v1_genomic.fna.gz	../fasta/ref/bacteria/37/80/GCF_003480375.1_ASM348037v1_genomic.fna.gz	21	32768	82.6309	0.015387236	0.014693896	0.009765625	0.0133256	0.013671875	0.013671875	0.0126953125	0.017822266	0.021484375	0.017578125	0.017534567	0.01573747	0.0078125	0.012695312	0.011180576	0.011906519	0.01171875	0.05078125	0.09765625	0.016601562	0.046875	0.09472656	0.016098268	0.046860456	0.10301366	0.028921569	0.05612745	0.10808823
../fasta/ref/bacteria/69/05/GCF_002705695.1_ASM270569v1_genomic.fna.gz	../fasta/ref/bacteria/69/56/GCF_000156695.2_ASM15669v2_genomic.fna.gz	21	32768	84.7359	0.028005935	0.027696876	0.0234375	0.0333283	0.02734375	0.02734375	0.028320312	0.025634766	0.0390625	0.028320312	0.028272908	0.0315647	0.033203125	0.029296875	0.027299846	0.028247034	0.025390625	0.056640625	0.056640625	0.021484375	0.06347656	0.06542969	0.020004578	0.0751812	0.06883345	0.033578433	0.08455882	0.08259804
../fasta/ref/bacteria/69/05/GCF_902705695.1_21877_MH06_genomic.fna.gz	../fasta/ref/bacteria/69/83/GCF_900083695.1_12045_6_61_genomic.fna.gz	21	32768	84.3558	0.028595712	0.02830287	0.03125	0.0218555	0.033203125	0.032226562	0.026855469	0.030517578	0.048828125	0.034179688	0.029261159	0.026272623	0.021484375	0.026367188	0.03168618	0.029616518	0.025390625	0.080078125	0.0859375	0.025390625	0.072265625	0.08203125	0.020981155	0.07420462	0.0839704	0.03529412	0.079166666	0.09191176
